"Well_ID","Date and Time","LAI","corrected"
"EER-1","8/9/25 12:18",3.27,FALSE
"EWR-1","8/9/25 12:24",2.45,TRUE
"EWT-2","8/9/25 12:32",3.48,TRUE
"EET-1","8/9/25 12:38",1.72,FALSE
"EHT-XC5S","8/9/25 12:45",0.33,FALSE
"EWT-1","8/9/25 12:58",1.68,TRUE
"EHT-XA5S","8/9/25 13:12",0.53,FALSE
"EET-2","8/9/25 13:17",0.53,FALSE
"KER-2","8/9/25 13:47",3.66,FALSE
"KWR-1","8/9/25 13:52",2.29,TRUE
"KHF-1","8/9/25 13:59",0.99,FALSE
"KEF-1","8/9/25 14:05",3.47,FALSE
"KER-1","8/9/25 14:19",3.19,FALSE
"KHR-1","8/9/25 14:27",2.26,FALSE
"KWT2","8/10/25 13:07",4.33,FALSE
"KWT2","8/10/25 13:10",4.74,FALSE
"KWT-1","8/10/25 13:25",0.37,TRUE
"KHT-XE5S","8/10/25 13:50",1.05,FALSE
"EHR-1","8/22/25 10:35",1.47,FALSE
"EER-1","8/22/25 10:44",3.93,FALSE
"EWR-1","8/22/25 10:51",1.12,TRUE
"EWT-2","8/22/25 11:01",3.18,TRUE
"EET-1","8/22/25 11:06",1.73,FALSE
"EHT-XC5S","8/22/25 11:15",0.31,FALSE
"EHT-XA5S","8/22/25 11:28",1.6,FALSE
"EET-2","8/22/25 11:47",0.64,FALSE
"EWT-1","8/22/25 11:57",1.43,TRUE
"KER-2","8/22/25 12:30",3.22,FALSE
"KWR-1","8/22/25 12:37",3.34,TRUE
"KHF-1","8/22/25 12:47",0.69,FALSE
"KEF-1","8/22/25 12:54",2.36,FALSE
"KWT2","8/22/25 13:10",3.81,FALSE
"KWT-1","8/22/25 13:20",3.16,TRUE
"KET-1","8/22/25 13:27",1.7,FALSE
"KHT-XE5S","8/22/25 13:35",0.68,FALSE
"KER-1","8/22/25 13:46",2.39,FALSE
"KHR-1","8/22/25 13:55",2.29,FALSE
"EHR-1","9/3/25 11:00",0.87,FALSE
"EER-1","9/3/25 11:07",2.92,FALSE
"EWR-1","9/3/25 11:14",0.05,TRUE
"EWT-2","9/3/25 11:22",1.56,TRUE
"EET-1","9/3/25 11:29",1.74,FALSE
"EHT-XC5S","9/3/25 11:34",0.25,FALSE
"EWT-1","9/3/25 11:45",1.01,TRUE
"EHT-XA5S","9/3/25 11:50",1.14,FALSE
"EET-2","9/3/25 11:53",0.84,FALSE
"KER-2","9/3/25 12:32",3,FALSE
"KWR-1","9/3/25 12:36",1.04,TRUE
"KHF-1","9/3/25 12:43",0.87,FALSE
"KEF-1","9/3/25 12:47",4.59,FALSE
"KWT2","9/3/25 12:59",3.27,FALSE
"KWT-1","9/3/25 13:06",2.04,TRUE
"KET-1","9/3/25 13:12",3.4,FALSE
"KHT-XE5S","9/3/25 13:16",0.65,FALSE
"KER-1","9/3/25 13:41",3.62,FALSE
"KHR-1","9/3/25 13:51",2.36,FALSE
"EHR-1","9/20/25 10:26",0.9,FALSE
"EER-1","9/20/25 10:37",3.32,FALSE
"EWR-1","9/20/25 10:44",0.15,TRUE
"EWT-2","9/20/25 10:58",2.16,TRUE
"EET-1","9/20/25 11:04",1.77,FALSE
"EHT-XC5S","9/20/25 11:12",0.52,FALSE
"EWT-1","9/20/25 11:24",0.26,TRUE
"EET-2","9/20/25 11:29",0.66,FALSE
"EHT-XA5S","9/20/25 11:34",1.17,FALSE
"KER-2","9/20/25 12:08",2.41,FALSE
"KWR-1","9/20/25 12:13",1.19,TRUE
"KHF-1","9/20/25 12:22",0.47,FALSE
"KEF-1","9/20/25 12:28",1.61,FALSE
"KWT2","9/20/25 12:44",1.04,FALSE
"KWT-1","9/20/25 12:54",1.27,TRUE
"KET-1","9/20/25 13:01",2.47,FALSE
"KHT-XE5S","9/20/25 13:08",0.57,FALSE
"KER-1","9/20/25 13:18",2.59,FALSE
"KHR-1","9/20/25 13:25",1.57,FALSE
"EHR-1","10/20/25 10:59",0.87,FALSE
"EER-1","10/20/25 11:04",2.18,FALSE
"EWR-1","10/20/25 11:08",1.77,FALSE
"EWT-2","10/20/25 11:15",1.48,FALSE
"EET-1","10/20/25 11:19",2.28,FALSE
"EHT-XC5S","10/20/25 11:24",0.29,FALSE
"EWT-1","10/20/25 11:35",1.21,FALSE
"EET-2","10/20/25 11:40",0.68,FALSE
"EHT-XA5S","10/20/25 11:43",1.31,FALSE
"KER-2","10/20/25 12:12",2.3,FALSE
"KWR-1","10/20/25 12:17",1.14,FALSE
"KHF-1","10/20/25 12:29",0.46,FALSE
"KEF-1","10/20/25 12:33",2.94,FALSE
"KWT-2","10/20/25 12:51",0.76,FALSE
"KWT-1","10/20/25 13:00",1.01,FALSE
"KET-1","10/20/25 13:09",1.84,FALSE
"KHT-XE5S","10/20/25 13:14",0.4,FALSE
"KER-1","10/20/25 13:41",2.57,FALSE
"KHR-1","10/20/25 13:45",2.36,FALSE
"EHT-XA5S","11/1/25 10:13",1.15,FALSE
"EET-2","11/1/25 10:23",0.7,FALSE
"EHT-XC5S","11/1/25 10:38",0.18,FALSE
"EET-1","11/1/25 10:46",1.59,FALSE
"EER-1","11/1/25 10:55",2.32,FALSE
"EHR-1","11/1/25 11:02",0.48,FALSE
"KER-2","11/1/25 12:19",2.18,FALSE
"KHF-1","11/1/25 12:40",0.62,FALSE
"KEF-1","11/1/25 12:46",4.74,FALSE
"KHT-XE5S","11/1/25 13:48",0.52,FALSE
"KET-1","11/1/25 13:51",2.23,FALSE
"KER-1","11/1/25 14:01",2.24,FALSE
"KHR-1","11/1/25 14:14",2.55,FALSE
