well_id,datetime,LAI.sensor,LAI.rmWAI,LAI.halfWAI,WAI,correctWillow,correctLastWillow,abovePAR,belowPAR,T,Fb,X
KHF-1,9/20/25 12:22,0.47,0.47,0.47,NA,FALSE,FALSE,1270.9,969,0.751,0.84,1.04
KEF-1,9/20/25 12:28,1.61,1.61,1.61,NA,FALSE,FALSE,638,208.9,0.398,0.83,0.9
KWT2,9/20/25 12:44,1.04,1.04,1.04,NA,FALSE,FALSE,273.1,108.9,0.414,0.02,1
KWT-1,9/20/25 12:54,2.28,1.27,1.77,1.01,TRUE,FALSE,1072.1,306.6,0.309,0.02,1
KET-1,9/20/25 13:01,2.47,2.47,2.47,NA,FALSE,FALSE,1079,256,0.273,0.01,0.91
KHT-XE5S,9/20/25 13:08,0.57,0.57,0.57,NA,FALSE,FALSE,1614.6,1114.6,0.707,0.91,1.2
KER-1,9/20/25 13:18,2.59,2.59,2.59,NA,FALSE,FALSE,1613.4,397.2,0.247,0.91,0.93
KHR-1,9/20/25 13:25,1.57,1.57,1.57,NA,FALSE,FALSE,1426.8,521.7,0.42,0.19,1.18
EHR-1,10/20/25 10:59,0.87,0.87,0.87,NA,FALSE,FALSE,1207.1,603.5,0.483,0.91,1.41
EER-1,10/20/25 11:04,2.18,2.18,2.18,NA,FALSE,FALSE,1535.5,233.2,0.158,0.91,0.93
EWR-1,10/20/25 11:08,1.77,0,0,1.77,FALSE,TRUE,1247.5,392.1,0.255,0.91,1
EWT-2,10/20/25 11:15,1.48,0,0,1.48,FALSE,TRUE,1504.1,456.5,0.303,0.91,1
EET-1,10/20/25 11:19,2.28,2.28,2.28,NA,FALSE,FALSE,1617.7,374,0.222,0.91,0.9
EHT-XC5S,10/20/25 11:24,0.29,0.29,0.29,NA,FALSE,FALSE,1646.2,1296.8,0.793,0.91,0.96
EWT-1,10/20/25 11:35,1.21,0,0,1.21,FALSE,TRUE,1566.9,713.6,0.425,0.91,1
EET-2,10/20/25 11:40,0.68,0.68,0.68,NA,FALSE,FALSE,1591.6,968.5,0.588,0.91,0.93
EHT-XA5S,10/20/25 11:43,1.31,1.31,1.31,NA,FALSE,FALSE,1721.6,600.6,0.384,0.91,0.93
KER-2,10/20/25 12:12,2.3,2.3,2.3,NA,FALSE,FALSE,1771.3,415.8,0.241,0.91,0.93
KWR-1,10/20/25 12:17,1.14,0,0,1.14,FALSE,TRUE,1734.7,826.8,0.462,0.91,1
KHF-1,10/20/25 12:29,0.46,0.46,0.46,NA,FALSE,FALSE,1165.9,1172,0.767,0.91,1.04
KEF-1,10/20/25 12:33,2.94,2.94,2.94,NA,FALSE,FALSE,1640.8,233.7,0.147,0.91,0.9
KWT-2,10/20/25 12:51,0.76,0,0,0.76,FALSE,TRUE,630.9,556.5,0.713,0.02,1
KWT-1,10/20/25 13:00,1.01,0,0,1.01,FALSE,TRUE,675.1,398.9,0.567,0.39,1
KET-1,10/20/25 13:09,1.84,1.84,1.84,NA,FALSE,FALSE,1786.8,560.4,0.309,0.91,0.91
KHT-XE5S,10/20/25 13:14,0.4,0.4,0.4,NA,FALSE,FALSE,1517.4,1273,0.757,0.91,1.2
KER-1,10/20/25 13:41,2.57,2.57,2.57,NA,FALSE,FALSE,1704.1,423.5,0.227,0.91,0.93
KHR-1,10/20/25 13:45,2.36,2.36,2.36,NA,FALSE,FALSE,1642.1,361.1,0.215,0.91,1.18
EHT-XA5S,11/1/25 10:13,1.15,1.15,1.15,NA,FALSE,FALSE,816,230.1,0.283,0.91,0.93
EET-2,11/1/25 10:23,0.7,0.7,0.7,NA,FALSE,FALSE,801.6,379,0.438,0.91,0.93
EHT-XC5S,11/1/25 10:38,0.18,0.18,0.18,NA,FALSE,FALSE,863,741.1,0.826,0.91,0.96
EET-1,11/1/25 10:46,1.59,1.59,1.59,NA,FALSE,FALSE,924.3,246.6,0.267,0.91,0.9
EER-1,11/1/25 10:55,2.32,2.32,2.32,NA,FALSE,FALSE,980.5,110.5,0.105,0.91,0.93
EHR-1,11/1/25 11:02,0.48,0.48,0.48,NA,FALSE,FALSE,950.3,674.4,0.655,0.91,1.41
KER-2,11/1/25 12:19,2.18,2.18,2.18,NA,FALSE,FALSE,1150,290.4,0.256,0.89,1
KHF-1,11/1/25 12:40,0.62,0.62,0.62,NA,FALSE,FALSE,1091.7,754.2,0.648,0.89,1.04
KEF-1,11/1/25 12:46,4.74,4.74,4.74,NA,FALSE,FALSE,1149.4,42.6,0.034,0.91,0.9
KHT-XE5S,11/1/25 13:48,0.52,0.52,0.52,NA,FALSE,FALSE,1082.3,716.4,0.68,0.8,1.2
KET-1,11/1/25 13:51,2.23,2.23,2.23,NA,FALSE,FALSE,1028.3,221.6,0.204,0.82,0.91
KER-1,11/1/25 14:01,2.24,2.24,2.24,NA,FALSE,FALSE,1116.4,299.6,0.278,0.79,1
KHR-1,11/1/25 14:14,2.55,2.55,2.55,NA,FALSE,FALSE,1016.9,165.3,0.155,0.81,1.18
