"DateTime","(mm) Precipitation (PRISM) at -120.2390E,39.4316N, 2017-10-01 to 2021-12-31"
"2018-04-29",0.026
"2018-04-30",4.125
"2018-05-01",0.272
"2018-05-02",0.34
"2018-05-03",0
"2018-05-04",0
"2018-05-05",0
"2018-05-06",0
"2018-05-07",0
"2018-05-08",0
"2018-05-09",0
"2018-05-10",0
"2018-05-11",0
"2018-05-12",1.752
"2018-05-13",2.802
"2018-05-14",2.372
"2018-05-15",2.371
"2018-05-16",13.452
"2018-05-17",2.228
"2018-05-18",2.849
"2018-05-19",1.408
"2018-05-20",0
"2018-05-21",4.685
"2018-05-22",1.28
"2018-05-23",1.72
"2018-05-24",11.637
"2018-05-25",12.186
"2018-05-26",0.734
"2018-05-27",0.377
"2018-05-28",0
"2018-05-29",0
"2018-05-30",0
"2018-05-31",0
"2018-06-01",0
"2018-06-02",0
"2018-06-03",0
"2018-06-04",0
"2018-06-05",0
"2018-06-06",0
"2018-06-07",0
"2018-06-08",0.195
"2018-06-09",0
"2018-06-10",0
"2018-06-11",0
"2018-06-12",0
"2018-06-13",0
"2018-06-14",0
"2018-06-15",0
"2018-06-16",0
"2018-06-17",4.177
"2018-06-18",0.243
"2018-06-19",0
"2018-06-20",0
"2018-06-21",0
"2018-06-22",0
"2018-06-23",0
"2018-06-24",0
"2018-06-25",0
"2018-06-26",0
"2018-06-27",0
"2018-06-28",0
"2018-06-29",0
"2018-06-30",0
"2018-07-01",0
"2018-07-02",0
"2018-07-03",0
"2018-07-04",0
"2018-07-05",0
"2018-07-06",0
"2018-07-07",0
"2018-07-08",0
"2018-07-09",0
"2018-07-10",0
"2018-07-11",0
"2018-07-12",0
"2018-07-13",0
"2018-07-14",0
"2018-07-15",0
"2018-07-16",0
"2018-07-17",0
"2018-07-18",0
"2018-07-19",0
"2018-07-20",0
"2018-07-21",0
"2018-07-22",0.744
"2018-07-23",2.17
"2018-07-24",0
"2018-07-25",0
"2018-07-26",0
"2018-07-27",0.169
"2018-07-28",0
"2018-07-29",0.135
"2018-07-30",0
"2018-07-31",0
"2018-08-01",0
"2018-08-02",0
"2018-08-03",0
"2018-08-04",0
"2018-08-05",0
"2018-08-06",0
"2018-08-07",0
"2018-08-08",0
"2018-08-09",0
"2018-08-10",0
"2018-08-11",0
"2018-08-12",0
"2018-08-13",0
"2018-08-14",0.009
"2018-08-15",0
"2018-08-16",0
"2018-08-17",0
"2018-08-18",0
"2018-08-19",0
"2018-08-20",0
"2018-08-21",0
"2018-08-22",0
"2018-08-23",0
"2018-08-24",0
"2018-08-25",0
"2018-08-26",0
"2018-08-27",0
"2018-08-28",0
"2018-08-29",0
"2018-08-30",0
"2018-08-31",0
"2018-09-01",0
"2018-09-02",0
"2018-09-03",0
"2018-09-04",0
"2018-09-05",0
"2018-09-06",0
"2018-09-07",0
"2018-09-08",0
"2018-09-09",0
"2018-09-10",0
"2018-09-11",0
"2018-09-12",0
"2018-09-13",0
"2018-09-14",0
"2018-09-15",0.596
"2018-09-16",0.239
"2018-09-17",0
"2018-09-18",0
"2018-09-19",0
"2018-09-20",0
"2018-09-21",0
"2018-09-22",0
"2018-09-23",0
"2018-09-24",0
"2018-09-25",0
"2018-09-26",0
"2018-09-27",0
"2018-09-28",0
"2018-09-29",0
"2018-09-30",0
"2018-10-01",0
"2018-10-02",0.173
"2018-10-03",8.599
"2018-10-04",3.725
"2018-10-05",1.218
"2018-10-06",1.996
"2018-10-07",0
"2018-10-08",0.214
"2018-10-09",0.222
"2018-10-10",0.012
"2018-10-11",0
"2018-10-12",0
"2018-10-13",0
"2018-10-14",0
"2018-10-15",0
"2018-10-16",0
"2018-10-17",0.214
"2018-10-18",0
"2018-10-19",0
"2018-10-20",0
"2018-10-21",0
"2018-10-22",0
"2018-10-23",0
"2018-10-24",0
"2018-10-25",0
"2018-10-26",0
"2018-10-27",0
"2018-10-28",0
"2018-10-29",0
"2018-10-30",0
"2018-10-31",0
"2018-11-01",0
"2018-11-02",0
"2018-11-03",0
"2018-11-04",0
"2018-11-05",0
"2018-11-06",0
"2018-11-07",0
"2018-11-08",0
"2018-11-09",0
"2018-11-10",0
"2018-11-11",0
"2018-11-12",0
"2018-11-13",0
"2018-11-14",0
"2018-11-15",0
"2018-11-16",0
"2018-11-17",0
"2018-11-18",0
"2018-11-19",0
"2018-11-20",0
"2018-11-21",10.798
"2018-11-22",20.604
"2018-11-23",21.418
"2018-11-24",5.957
"2018-11-25",1.988
"2018-11-26",0.75
"2018-11-27",4.757
"2018-11-28",11.01
"2018-11-29",21.958
"2018-11-30",1.609
"2018-12-01",8.802
"2018-12-02",0
"2018-12-03",1.606
"2018-12-04",3.399
"2018-12-05",7.773
"2018-12-06",0.53
"2018-12-07",0
"2018-12-08",0.628
"2018-12-09",0.282
"2018-12-10",0
"2018-12-11",0.624
"2018-12-12",0
"2018-12-13",0
"2018-12-14",0
"2018-12-15",0
"2018-12-16",1.884
"2018-12-17",4.354
"2018-12-18",0.368
"2018-12-19",0.244
"2018-12-20",1.015
"2018-12-21",3.176
"2018-12-22",1.044
"2018-12-23",1.14
"2018-12-24",23.427
"2018-12-25",0.002
"2018-12-26",0.41
"2018-12-27",0
"2018-12-28",0.244
"2018-12-29",0
"2018-12-30",0
"2018-12-31",0
"2019-01-01",0
"2019-01-02",1.594
"2019-01-03",0
"2019-01-04",0
"2019-01-05",12.222
"2019-01-06",40.028
"2019-01-07",7.939
"2019-01-08",3.882
"2019-01-09",10.878
"2019-01-10",0
"2019-01-11",0.244
"2019-01-12",0
"2019-01-13",0
"2019-01-14",1.399
"2019-01-15",38.379
"2019-01-16",52.101
"2019-01-17",35.742
"2019-01-18",5.671
"2019-01-19",1.003
"2019-01-20",36.617
"2019-01-21",0
"2019-01-22",0
"2019-01-23",0
"2019-01-24",0
"2019-01-25",0.231
"2019-01-26",0.231
"2019-01-27",0
"2019-01-28",0
"2019-01-29",0
"2019-01-30",0
"2019-01-31",0
"2019-02-01",5.504
"2019-02-02",32.16
"2019-02-03",31.621
"2019-02-04",41.64
"2019-02-05",4.034
"2019-02-06",0
"2019-02-07",0
"2019-02-08",3.563
"2019-02-09",39.813
"2019-02-10",11.471
"2019-02-11",0
"2019-02-12",7.477
"2019-02-13",73.305
"2019-02-14",45.589
"2019-02-15",31.852
"2019-02-16",13.736
"2019-02-17",8.524
"2019-02-18",0.024
"2019-02-19",1.14
"2019-02-20",3.659
"2019-02-21",1.311
"2019-02-22",1.017
"2019-02-23",1.319
"2019-02-24",1.892
"2019-02-25",22.691
"2019-02-26",32.643
"2019-02-27",24.178
"2019-02-28",8.758
"2019-03-01",2.677
"2019-03-02",10.995
"2019-03-03",10.606
"2019-03-04",0
"2019-03-05",6.842
"2019-03-06",22.37
"2019-03-07",5.054
"2019-03-08",0.847
"2019-03-09",1.529
"2019-03-10",1.059
"2019-03-11",1.217
"2019-03-12",4.976
"2019-03-13",0
"2019-03-14",0
"2019-03-15",0
"2019-03-16",0.491
"2019-03-17",0
"2019-03-18",0.263
"2019-03-19",2.499
"2019-03-20",2.277
"2019-03-21",0.451
"2019-03-22",5.127
"2019-03-23",4.945
"2019-03-24",1.54
"2019-03-25",1.25
"2019-03-26",4.649
"2019-03-27",22.668
"2019-03-28",2.131
"2019-03-29",0.464
"2019-03-30",0
"2019-03-31",2.06
"2019-04-01",4.873
"2019-04-02",10.569
"2019-04-03",0.748
"2019-04-04",1.32
"2019-04-05",2.785
"2019-04-06",2.669
"2019-04-07",0.576
"2019-04-08",20.533
"2019-04-09",4.737
"2019-04-10",0
"2019-04-11",0
"2019-04-12",0
"2019-04-13",0
"2019-04-14",1.354
"2019-04-15",1.124
"2019-04-16",2.788
"2019-04-17",1.862
"2019-04-18",0
"2019-04-19",0
"2019-04-20",0
"2019-04-21",1.102
"2019-04-22",0
"2019-04-23",0
"2019-04-24",0
"2019-04-25",0
"2019-04-26",0
"2019-04-27",0
"2019-04-28",0
"2019-04-29",0
"2019-04-30",0.066
"2019-05-01",0
"2019-05-02",0.3
"2019-05-03",0
"2019-05-04",0
"2019-05-05",0.688
"2019-05-06",2.909
"2019-05-07",0
"2019-05-08",0
"2019-05-09",0
"2019-05-10",0
"2019-05-11",0
"2019-05-12",0
"2019-05-13",0
"2019-05-14",0
"2019-05-15",10.586
"2019-05-16",14.821
"2019-05-17",1.124
"2019-05-18",2.943
"2019-05-19",8.282
"2019-05-20",0.709
"2019-05-21",6.493
"2019-05-22",7.026
"2019-05-23",3.038
"2019-05-24",2.552
"2019-05-25",3.56
"2019-05-26",5.486
"2019-05-27",4.178
"2019-05-28",0.355
"2019-05-29",2.623
"2019-05-30",3.147
"2019-05-31",0
"2019-06-01",0.784
"2019-06-02",0.26
"2019-06-03",0
"2019-06-04",0
"2019-06-05",0
"2019-06-06",0
"2019-06-07",0
"2019-06-08",0
"2019-06-09",0
"2019-06-10",0.259
"2019-06-11",0
"2019-06-12",0
"2019-06-13",0
"2019-06-14",0
"2019-06-15",0
"2019-06-16",2.801
"2019-06-17",0
"2019-06-18",0
"2019-06-19",0
"2019-06-20",0.15
"2019-06-21",0
"2019-06-22",0
"2019-06-23",0
"2019-06-24",0
"2019-06-25",0
"2019-06-26",0
"2019-06-27",0
"2019-06-28",0
"2019-06-29",0
"2019-06-30",0
"2019-07-01",0
"2019-07-02",0
"2019-07-03",0
"2019-07-04",0
"2019-07-05",0
"2019-07-06",0
"2019-07-07",0
"2019-07-08",0
"2019-07-09",0
"2019-07-10",0
"2019-07-11",0
"2019-07-12",0
"2019-07-13",0
"2019-07-14",0
"2019-07-15",0
"2019-07-16",0
"2019-07-17",0
"2019-07-18",0
"2019-07-19",0
"2019-07-20",0
"2019-07-21",0
"2019-07-22",1.141
"2019-07-23",0.165
"2019-07-24",0
"2019-07-25",0
"2019-07-26",0.555
"2019-07-27",0
"2019-07-28",0
"2019-07-29",0.923
"2019-07-30",0
"2019-07-31",0.698
"2019-08-01",0
"2019-08-02",0
"2019-08-03",0
"2019-08-04",0
"2019-08-05",0
"2019-08-06",0
"2019-08-07",0
"2019-08-08",0
"2019-08-09",0
"2019-08-10",0
"2019-08-11",0
"2019-08-12",0
"2019-08-13",0
"2019-08-14",0
"2019-08-15",0
"2019-08-16",0
"2019-08-17",0
"2019-08-18",0
"2019-08-19",0
"2019-08-20",0
"2019-08-21",0
"2019-08-22",0
"2019-08-23",0
"2019-08-24",0
"2019-08-25",0
"2019-08-26",0
"2019-08-27",0.036
"2019-08-28",0
"2019-08-29",0
"2019-08-30",0
"2019-08-31",0
"2019-09-01",0
"2019-09-02",0
"2019-09-03",0.155
"2019-09-04",0
"2019-09-05",0
"2019-09-06",0.155
"2019-09-07",0
"2019-09-08",0
"2019-09-09",0
"2019-09-10",0
"2019-09-11",0
"2019-09-12",0
"2019-09-13",0
"2019-09-14",0
"2019-09-15",0
"2019-09-16",13.138
"2019-09-17",1.757
"2019-09-18",7.082
"2019-09-19",2.005
"2019-09-20",0
"2019-09-21",0.603
"2019-09-22",0
"2019-09-23",0
"2019-09-24",0
"2019-09-25",0
"2019-09-26",0
"2019-09-27",0
"2019-09-28",8.679
"2019-09-29",11.48
"2019-09-30",3.045
"2019-10-01",0.784
"2019-10-02",1.647
"2019-10-03",0
"2019-10-04",0.189
"2019-10-05",0
"2019-10-06",0.576
"2019-10-07",0
"2019-10-08",0
"2019-10-09",0
"2019-10-10",0
"2019-10-11",0.656
"2019-10-12",0
"2019-10-13",0
"2019-10-14",0
"2019-10-15",0
"2019-10-16",0.618
"2019-10-17",0
"2019-10-18",0
"2019-10-19",0
"2019-10-20",0.313
"2019-10-21",0
"2019-10-22",0
"2019-10-23",0
"2019-10-24",0
"2019-10-25",0
"2019-10-26",0
"2019-10-27",0
"2019-10-28",0
"2019-10-29",0
"2019-10-30",1.142
"2019-10-31",0
"2019-11-01",0
"2019-11-02",0
"2019-11-03",0
"2019-11-04",0
"2019-11-05",0
"2019-11-06",0
"2019-11-07",0
"2019-11-08",0
"2019-11-09",0
"2019-11-10",0
"2019-11-11",0
"2019-11-12",0
"2019-11-13",0
"2019-11-14",0
"2019-11-15",0
"2019-11-16",0
"2019-11-17",0
"2019-11-18",0
"2019-11-19",3.495
"2019-11-20",0.167
"2019-11-21",0
"2019-11-22",0
"2019-11-23",0
"2019-11-24",0
"2019-11-25",0
"2019-11-26",15.97
"2019-11-27",9.512
"2019-11-28",4
"2019-11-29",1.781
"2019-11-30",11.97
"2019-12-01",52.244
"2019-12-02",15.572
"2019-12-03",0
"2019-12-04",3.833
"2019-12-05",0.767
"2019-12-06",4.964
"2019-12-07",37.954
"2019-12-08",13.579
"2019-12-09",0.908
"2019-12-10",0.529
"2019-12-11",6.84
"2019-12-12",2.815
"2019-12-13",16.541
"2019-12-14",5.464
"2019-12-15",0.014
"2019-12-16",0
"2019-12-17",1.076
"2019-12-18",0
"2019-12-19",1.416
"2019-12-20",0
"2019-12-21",0
"2019-12-22",4.357
"2019-12-23",2.521
"2019-12-24",0
"2019-12-25",0
"2019-12-26",0
"2019-12-27",0.237
"2019-12-28",0.911
"2019-12-29",0.569
"2019-12-30",0.757
"2019-12-31",0
"2020-01-01",1.046
"2020-01-02",0.23
"2020-01-03",0.358
"2020-01-04",0
"2020-01-05",0
"2020-01-06",0
"2020-01-07",0.466
"2020-01-08",1.729
"2020-01-09",0.604
"2020-01-10",2.071
"2020-01-11",0
"2020-01-12",0
"2020-01-13",4.294
"2020-01-14",2.857
"2020-01-15",1.375
"2020-01-16",20.142
"2020-01-17",1.658
"2020-01-18",0
"2020-01-19",0
"2020-01-20",0
"2020-01-21",1.688
"2020-01-22",0.482
"2020-01-23",3.508
"2020-01-24",0.748
"2020-01-25",1.951
"2020-01-26",10.276
"2020-01-27",0
"2020-01-28",0
"2020-01-29",0.371
"2020-01-30",0
"2020-01-31",0
"2020-02-01",0
"2020-02-02",3.648
"2020-02-03",0
"2020-02-04",0
"2020-02-05",0
"2020-02-06",0
"2020-02-07",0
"2020-02-08",0
"2020-02-09",0
"2020-02-10",0
"2020-02-11",0
"2020-02-12",0
"2020-02-13",0
"2020-02-14",0
"2020-02-15",0
"2020-02-16",0
"2020-02-17",0
"2020-02-18",0
"2020-02-19",0
"2020-02-20",0
"2020-02-21",0
"2020-02-22",0
"2020-02-23",0
"2020-02-24",0
"2020-02-25",0
"2020-02-26",0
"2020-02-27",0
"2020-02-28",0
"2020-02-29",4.269
"2020-03-01",9.188
"2020-03-02",0
"2020-03-03",0.287
"2020-03-04",0
"2020-03-05",0
"2020-03-06",0
"2020-03-07",7.204
"2020-03-08",0.184
"2020-03-09",0
"2020-03-10",0
"2020-03-11",0
"2020-03-12",0
"2020-03-13",1.735
"2020-03-14",39.451
"2020-03-15",34.686
"2020-03-16",27.496
"2020-03-17",3.162
"2020-03-18",3.591
"2020-03-19",0.037
"2020-03-20",0
"2020-03-21",1.057
"2020-03-22",0
"2020-03-23",1.998
"2020-03-24",11.645
"2020-03-25",1.289
"2020-03-26",0.413
"2020-03-27",1.689
"2020-03-28",2.797
"2020-03-29",0.453
"2020-03-30",0
"2020-03-31",0
"2020-04-01",0
"2020-04-02",0
"2020-04-03",0
"2020-04-04",5.74
"2020-04-05",30.93
"2020-04-06",5.001
"2020-04-07",2.195
"2020-04-08",0
"2020-04-09",0
"2020-04-10",0
"2020-04-11",0
"2020-04-12",0
"2020-04-13",0
"2020-04-14",0
"2020-04-15",0
"2020-04-16",0
"2020-04-17",5.268
"2020-04-18",0
"2020-04-19",0
"2020-04-20",0
"2020-04-21",0
"2020-04-22",0
"2020-04-23",0
"2020-04-24",0
"2020-04-25",0
"2020-04-26",0.198
"2020-04-27",0
"2020-04-28",0
"2020-04-29",0
"2020-04-30",0
"2020-05-01",0
"2020-05-02",0
"2020-05-03",0
"2020-05-04",0
"2020-05-05",0
"2020-05-06",0
"2020-05-07",0
"2020-05-08",0.115
"2020-05-09",0
"2020-05-10",0
"2020-05-11",0
"2020-05-12",2.619
"2020-05-13",3.059
"2020-05-14",0.835
"2020-05-15",0
"2020-05-16",0
"2020-05-17",27.012
"2020-05-18",8.448
"2020-05-19",2.321
"2020-05-20",1.48
"2020-05-21",0
"2020-05-22",0
"2020-05-23",0
"2020-05-24",0
"2020-05-25",0.169
"2020-05-26",0
"2020-05-27",0
"2020-05-28",0
"2020-05-29",0
"2020-05-30",2.98
"2020-05-31",0.154
"2020-06-01",2.376
"2020-06-02",0
"2020-06-03",0
"2020-06-04",0
"2020-06-05",0
"2020-06-06",3.253
"2020-06-07",1.886
"2020-06-08",1.13
"2020-06-09",0
"2020-06-10",0
"2020-06-11",0
"2020-06-12",1.034
"2020-06-13",0.543
"2020-06-14",0
"2020-06-15",0
"2020-06-16",0
"2020-06-17",0
"2020-06-18",0
"2020-06-19",0
"2020-06-20",0
"2020-06-21",0
"2020-06-22",0
"2020-06-23",1.936
"2020-06-24",0
"2020-06-25",0
"2020-06-26",0
"2020-06-27",0
"2020-06-28",0
"2020-06-29",0
"2020-06-30",0
"2020-07-01",0
"2020-07-02",0
"2020-07-03",0
"2020-07-04",0
"2020-07-05",0
"2020-07-06",0
"2020-07-07",0
"2020-07-08",0
"2020-07-09",0
"2020-07-10",0
"2020-07-11",0
"2020-07-12",0
"2020-07-13",0
"2020-07-14",0
"2020-07-15",0
"2020-07-16",0
"2020-07-17",0
"2020-07-18",0
"2020-07-19",0
"2020-07-20",2.477
"2020-07-21",0
"2020-07-22",1.013
"2020-07-23",0
"2020-07-24",0
"2020-07-25",0.255
"2020-07-26",0
"2020-07-27",2.492
"2020-07-28",0
"2020-07-29",0
"2020-07-30",0
"2020-07-31",0
"2020-08-01",0
"2020-08-02",0
"2020-08-03",0
"2020-08-04",0
"2020-08-05",0
"2020-08-06",0
"2020-08-07",0.024
"2020-08-08",0.034
"2020-08-09",0
"2020-08-10",0.189
"2020-08-11",0
"2020-08-12",0
"2020-08-13",0
"2020-08-14",0
"2020-08-15",0
"2020-08-16",0
"2020-08-17",0.42
"2020-08-18",0
"2020-08-19",0
"2020-08-20",0
"2020-08-21",0
"2020-08-22",0
"2020-08-23",1.188
"2020-08-24",2.502
"2020-08-25",0.298
"2020-08-26",0
"2020-08-27",0
"2020-08-28",0.163
"2020-08-29",0
"2020-08-30",0
"2020-08-31",0
"2020-09-01",0
"2020-09-02",0
"2020-09-03",0
"2020-09-04",0
"2020-09-05",0
"2020-09-06",0
"2020-09-07",0
"2020-09-08",0
"2020-09-09",0
"2020-09-10",0
"2020-09-11",0
"2020-09-12",0
"2020-09-13",0
"2020-09-14",0
"2020-09-15",0
"2020-09-16",0
"2020-09-17",0
"2020-09-18",0.162
"2020-09-19",0
"2020-09-20",0
"2020-09-21",0
"2020-09-22",0
"2020-09-23",0
"2020-09-24",0
"2020-09-25",0
"2020-09-26",0
"2020-09-27",0
"2020-09-28",0
"2020-09-29",0
"2020-09-30",0
"2020-10-01",0
"2020-10-02",0
"2020-10-03",0
"2020-10-04",0
"2020-10-05",0
"2020-10-06",0
"2020-10-07",0
"2020-10-08",0
"2020-10-09",0
"2020-10-10",0
"2020-10-11",0
"2020-10-12",0
"2020-10-13",0
"2020-10-14",0
"2020-10-15",0
"2020-10-16",0
"2020-10-17",0
"2020-10-18",0
"2020-10-19",0
"2020-10-20",0
"2020-10-21",0
"2020-10-22",0
"2020-10-23",0
"2020-10-24",0
"2020-10-25",0
"2020-10-26",0
"2020-10-27",0
"2020-10-28",0
"2020-10-29",0
"2020-10-30",0
"2020-10-31",0
"2020-11-01",0
"2020-11-02",0
"2020-11-03",0
"2020-11-04",0
"2020-11-05",0
"2020-11-06",0.897
"2020-11-07",4.934
"2020-11-08",2.743
"2020-11-09",0
"2020-11-10",0
"2020-11-11",0
"2020-11-12",0
"2020-11-13",10.422
"2020-11-14",0.208
"2020-11-15",0.17
"2020-11-16",0
"2020-11-17",20.915
"2020-11-18",37.035
"2020-11-19",0
"2020-11-20",0
"2020-11-21",0
"2020-11-22",0.364
"2020-11-23",0
"2020-11-24",0
"2020-11-25",0.205
"2020-11-26",0
"2020-11-27",0.208
"2020-11-28",0
"2020-11-29",0.431
"2020-11-30",0
"2020-12-01",0
"2020-12-02",0
"2020-12-03",0
"2020-12-04",0
"2020-12-05",0
"2020-12-06",0
"2020-12-07",0
"2020-12-08",0
"2020-12-09",0
"2020-12-10",0
"2020-12-11",1.996
"2020-12-12",1.642
"2020-12-13",23.351
"2020-12-14",0
"2020-12-15",2.761
"2020-12-16",6.6
"2020-12-17",6.738
"2020-12-18",2.196
"2020-12-19",0
"2020-12-20",0
"2020-12-21",0
"2020-12-22",0
"2020-12-23",0.188
"2020-12-24",0
"2020-12-25",12.803
"2020-12-26",9.073
"2020-12-27",0.008
"2020-12-28",0.362
"2020-12-29",0.886
"2020-12-30",2.946
"2020-12-31",1.053
"2021-01-01",0.366
"2021-01-02",1.508
"2021-01-03",1.893
"2021-01-04",13.904
"2021-01-05",0
"2021-01-06",0.519
"2021-01-07",0
"2021-01-08",0.081
"2021-01-09",0.141
"2021-01-10",0
"2021-01-11",0.25
"2021-01-12",0
"2021-01-13",0
"2021-01-14",0
"2021-01-15",0
"2021-01-16",0
"2021-01-17",0
"2021-01-18",0
"2021-01-19",0
"2021-01-20",0
"2021-01-21",0
"2021-01-22",0.872
"2021-01-23",0.467
"2021-01-24",2.387
"2021-01-25",1.71
"2021-01-26",12.948
"2021-01-27",43.311
"2021-01-28",35.8
"2021-01-29",1.428
"2021-01-30",0.141
"2021-01-31",0
"2021-02-01",0.734
"2021-02-02",9.519
"2021-02-03",0.767
"2021-02-04",0.198
"2021-02-05",0
"2021-02-06",0
"2021-02-07",0
"2021-02-08",0.688
"2021-02-09",0.456
"2021-02-10",0
"2021-02-11",16.659
"2021-02-12",5.232
"2021-02-13",9.257
"2021-02-14",1.128
"2021-02-15",3.791
"2021-02-16",0
"2021-02-17",0
"2021-02-18",1.306
"2021-02-19",3.591
"2021-02-20",4.444
"2021-02-21",0.198
"2021-02-22",0
"2021-02-23",0
"2021-02-24",0
"2021-02-25",0
"2021-02-26",0
"2021-02-27",0
"2021-02-28",0
"2021-03-01",0
"2021-03-02",0
"2021-03-03",0
"2021-03-04",0
"2021-03-05",3.05
"2021-03-06",3.74
"2021-03-07",0
"2021-03-08",5.32
"2021-03-09",7.909
"2021-03-10",7.211
"2021-03-11",3.451
"2021-03-12",0.451
"2021-03-13",0.473
"2021-03-14",2.94
"2021-03-15",3.099
"2021-03-16",0
"2021-03-17",0.246
"2021-03-18",9.159
"2021-03-19",4.666
"2021-03-20",0
"2021-03-21",0
"2021-03-22",1.569
"2021-03-23",0.543
"2021-03-24",0.246
"2021-03-25",0
"2021-03-26",0
"2021-03-27",0
"2021-03-28",0
"2021-03-29",0
"2021-03-30",0
"2021-03-31",0
"2021-04-01",0.433
"2021-04-02",0
"2021-04-03",0
"2021-04-04",0
"2021-04-05",0
"2021-04-06",0
"2021-04-07",0
"2021-04-08",0.366
"2021-04-09",0
"2021-04-10",0
"2021-04-11",0
"2021-04-12",0
"2021-04-13",9.389
"2021-04-14",0.5
"2021-04-15",0
"2021-04-16",0
"2021-04-17",0.3
