"DateTime","(deg C) Max Temperature (PRISM), -120.2390E,39.4316N ,2017-10-01 to 2021-12-31","(deg C) Min Temperature (PRISM), -120.2390E,39.4316N ,2017-10-01 to 2021-12-31"
"2018-01-06",5.905,-3.79
"2018-01-07",8.24,-5.549
"2018-01-08",5.745,1.486
"2018-01-09",6.028,1.239
"2018-01-10",4.818,-2.23
"2018-01-11",6.481,-2.796
"2018-01-12",10.389,-2.29
"2018-01-13",10.828,-2.414
"2018-01-14",11.163,-1.9
"2018-01-15",11.383,-0.027
"2018-01-16",7.066,-0.133
"2018-01-17",11.091,0.481
"2018-01-18",7.721,-0.718
"2018-01-19",1.391,-6.48
"2018-01-20",-0.433,-11.419
"2018-01-21",1.546,-11.421
"2018-01-22",3.724,-6.253
"2018-01-23",7.179,-8.144
"2018-01-24",5.377,-2.785
"2018-01-25",-1.112,-8.001
"2018-01-26",-0.172,-10.009
"2018-01-27",5.355,-6.364
"2018-01-28",11.712,-5.532
"2018-01-29",10.452,-3.421
"2018-01-30",11.991,-1.996
"2018-01-31",13.336,-3.066
"2018-02-01",11.74,-1.179
"2018-02-02",13.189,-2.389
"2018-02-03",12.759,-2.764
"2018-02-04",14.282,-2.439
"2018-02-05",12.233,-2.628
"2018-02-06",9.103,-4.877
"2018-02-07",13.076,-3.37
"2018-02-08",15.394,-2.692
"2018-02-09",12.569,-2.424
"2018-02-10",5.913,-5.23
"2018-02-11",5.859,-8.235
"2018-02-12",-2.89,-7.283
"2018-02-13",2.258,-10.023
"2018-02-14",3.247,-7.711
"2018-02-15",3.681,-10.163
"2018-02-16",9.562,-7.266
"2018-02-17",11.233,-5.372
"2018-02-18",2.886,-9.973
"2018-02-19",-5.362,-16.579
"2018-02-20",-2.102,-18.854
"2018-02-21",0.327,-15.235
"2018-02-22",-3.622,-13.047
"2018-02-23",-3.545,-16.33
"2018-02-24",-2.429,-15.85
"2018-02-25",5.574,-14.115
"2018-02-26",-2.426,-10.234
"2018-02-27",-0.689,-16.896
"2018-02-28",1.834,-16.13
"2018-03-01",-0.6,-4.617
"2018-03-02",-3.843,-10.99
"2018-03-03",-0.908,-10.94
"2018-03-04",0.702,-13.76
"2018-03-05",4.817,-16.462
"2018-03-06",9.434,-11.408
"2018-03-07",9.731,-5.638
"2018-03-08",6.422,-1.736
"2018-03-09",7.345,-0.968
"2018-03-10",4.464,-1.581
"2018-03-11",10.147,-4.028
"2018-03-12",10.988,-2.24
"2018-03-13",7.214,-2.127
"2018-03-14",0.638,-6.219
"2018-03-15",-0.607,-7.88
"2018-03-16",-1.244,-6.646
"2018-03-17",-0.571,-13.535
"2018-03-18",3.913,-16.456
"2018-03-19",6.005,-10.346
"2018-03-20",5.404,-4.385
"2018-03-21",6.886,0.922
"2018-03-22",2.798,-4.283
"2018-03-23",2.459,-5.922
"2018-03-24",0.546,-7.317
"2018-03-25",1.448,-12.123
"2018-03-26",3.664,-14.671
"2018-03-27",10.268,-7.803
"2018-03-28",13.542,-3.298
"2018-03-29",14.146,-2.917
"2018-03-30",15.429,-2.744
"2018-03-31",13.631,-2.088
"2018-04-01",13.555,-2.961
"2018-04-02",11.038,-2.193
"2018-04-03",12.631,-5.121
"2018-04-04",13.161,-0.287
"2018-04-05",10.619,1.163
"2018-04-06",7.411,2.019
"2018-04-07",7.98,-0.483
"2018-04-08",10.679,-2.592
"2018-04-09",17.564,-2.187
"2018-04-10",11.95,2.683
"2018-04-11",8.739,-4.13
"2018-04-12",1.404,-7.548
"2018-04-13",10.326,-8.573
"2018-04-14",12.959,-2.578
"2018-04-15",8.601,-4.129
"2018-04-16",1.623,-6.906
"2018-04-17",5.517,-8.35
"2018-04-18",3.497,-3.482
"2018-04-19",4.456,-4.428
"2018-04-20",13.672,-3.011
"2018-04-21",18.169,-1.064
"2018-04-22",16.205,-1.189
"2018-04-23",16.436,-1.136
"2018-04-24",17.339,-0.078
"2018-04-25",19.95,1.246
"2018-04-26",20.604,1.985
"2018-04-27",10.439,0.799
"2018-04-28",7.364,-1.334
"2018-04-29",5.882,-1.495
"2018-04-30",7.005,-3.493
"2018-05-01",9.144,-0.842
"2018-05-02",12.21,-1.934
"2018-05-03",16.689,-0.987
"2018-05-04",18.12,2.225
"2018-05-05",16.981,2.487
"2018-05-06",16.042,3.998
"2018-05-07",20.525,0.806
"2018-05-08",21.467,2.811
"2018-05-09",15.823,2.692
"2018-05-10",16.533,-0.491
"2018-05-11",10.134,-0.227
"2018-05-12",9.122,-0.499
"2018-05-13",13.167,3.641
"2018-05-14",14.032,1.726
"2018-05-15",13.918,2.063
"2018-05-16",7.272,1.754
"2018-05-17",12.36,3.413
"2018-05-18",15.102,2.748
"2018-05-19",16.088,1.74
"2018-05-20",15.216,1.973
"2018-05-21",14.387,2.108
"2018-05-22",15.597,3.05
"2018-05-23",14.76,4.017
"2018-05-24",16.989,2.131
"2018-05-25",7.988,0.922
"2018-05-26",7.903,0.835
"2018-05-27",14.956,1.72
"2018-05-28",18.848,3.331
"2018-05-29",21.151,4.85
"2018-05-30",17.531,4.206
"2018-05-31",11.525,-0.736
"2018-06-01",17.891,-1.816
"2018-06-02",22.961,3.266
"2018-06-03",23.271,6.292
"2018-06-04",20.601,6.464
"2018-06-05",20.049,5.292
"2018-06-06",19.595,4.091
"2018-06-07",18.559,2.034
"2018-06-08",20,1.488
"2018-06-09",12.414,1.599
"2018-06-10",17.163,-1.683
"2018-06-11",22.393,2.397
"2018-06-12",25.22,5.087
"2018-06-13",24.093,5.231
"2018-06-14",22.903,6.832
"2018-06-15",19.637,5.657
"2018-06-16",18.048,3.109
"2018-06-17",12.006,2.597
"2018-06-18",17.227,1.887
"2018-06-19",21.314,3.901
"2018-06-20",23.357,5.994
"2018-06-21",24.053,3.51
"2018-06-22",25.541,4.655
"2018-06-23",24.709,6.108
"2018-06-24",27.127,6.706
"2018-06-25",25.651,7.387
"2018-06-26",25.415,7.533
"2018-06-27",23.975,6.827
"2018-06-28",20.495,5.98
"2018-06-29",22.133,4.664
"2018-06-30",23.562,5.413
"2018-07-01",27.283,6.149
"2018-07-02",25.464,8.122
"2018-07-03",23.14,6.953
"2018-07-04",22.732,7.089
"2018-07-05",22.002,9.877
"2018-07-06",23.508,10.647
"2018-07-07",25.829,9.567
"2018-07-08",25.999,9.962
"2018-07-09",26.094,9.199
"2018-07-10",25.912,7.223
"2018-07-11",27.897,7.053
"2018-07-12",28.985,8.56
"2018-07-13",25.24,10.399
"2018-07-14",27.773,10.381
"2018-07-15",27.486,11.352
"2018-07-16",26.889,9.457
"2018-07-17",28.703,8.953
"2018-07-18",29.201,8.607
"2018-07-19",29.542,9.707
"2018-07-20",27.381,8.869
"2018-07-21",26.394,11.582
"2018-07-22",25.835,10.764
"2018-07-23",27.083,10.516
"2018-07-24",28.033,10.561
"2018-07-25",29.105,8.37
"2018-07-26",30.326,11.003
"2018-07-27",29.091,9.614
"2018-07-28",28.827,7.808
"2018-07-29",29.467,7.68
"2018-07-30",28.72,10.666
"2018-07-31",29.2,12.934
"2018-08-01",28.193,10.529
"2018-08-02",27.193,9.456
"2018-08-03",26.16,7.447
"2018-08-04",22.864,6.441
"2018-08-05",24.089,3.561
"2018-08-06",26.534,5.115
"2018-08-07",29.196,7.837
"2018-08-08",29.066,8.7
"2018-08-09",31.292,8.591
"2018-08-10",29.051,10.684
"2018-08-11",28.468,9.606
"2018-08-12",27.601,9.555
"2018-08-13",27.038,10.805
"2018-08-14",27.85,9.783
"2018-08-15",26.66,10.855
"2018-08-16",25.829,10.671
"2018-08-17",25.761,8.156
"2018-08-18",27.571,5.517
"2018-08-19",27.649,7.529
"2018-08-20",25.652,6.894
"2018-08-21",23.602,5.881
"2018-08-22",24.322,4.142
"2018-08-23",23.953,5.06
"2018-08-24",22.22,5.497
"2018-08-25",22.88,3.977
"2018-08-26",22.004,3.907
"2018-08-27",21.498,6.273
"2018-08-28",23.139,5.496
"2018-08-29",23.099,6.661
"2018-08-30",20.956,4.389
"2018-08-31",21.182,1.757
"2018-09-01",23.267,5.031
"2018-09-02",26.063,5.75
"2018-09-03",26.567,6.841
"2018-09-04",26.13,6.979
"2018-09-05",25.281,7.187
"2018-09-06",24.095,6.869
"2018-09-07",25.72,4.566
"2018-09-08",23.506,5.765
"2018-09-09",25.537,3.757
"2018-09-10",24.259,3.612
"2018-09-11",21.321,4.528
"2018-09-12",15.712,5.523
"2018-09-13",15.238,3.129
"2018-09-14",17.598,0.531
"2018-09-15",15.636,3.32
"2018-09-16",19.136,2.462
"2018-09-17",19.933,1.776
"2018-09-18",19.488,1.688
"2018-09-19",18.995,0.035
"2018-09-20",20.822,0.966
"2018-09-21",23.206,2.669
"2018-09-22",20.58,8.042
"2018-09-23",19.65,2.788
"2018-09-24",20.301,1.24
"2018-09-25",21.663,1.928
"2018-09-26",24.47,2.779
"2018-09-27",26.211,4.661
"2018-09-28",23.811,6.014
"2018-09-29",15.901,7.056
"2018-09-30",16.705,5.496
"2018-10-01",17.981,8.738
"2018-10-02",18.182,7.532
"2018-10-03",13.07,4.93
"2018-10-04",8.827,1.896
"2018-10-05",13.242,-0.425
"2018-10-06",8.512,1
"2018-10-07",8.903,-1.569
"2018-10-08",13.463,-1.082
"2018-10-09",15.643,0.148
"2018-10-10",11.252,-1.51
"2018-10-11",10.984,0.386
"2018-10-12",14.112,-1.574
"2018-10-13",16.082,-1.505
"2018-10-14",8.134,-2.501
"2018-10-15",12.572,-4.089
"2018-10-16",13.353,-2.216
"2018-10-17",15.752,-2.066
"2018-10-18",15.985,-1.627
"2018-10-19",16.551,-0.899
"2018-10-20",16.521,-0.592
"2018-10-21",16.041,-1.012
"2018-10-22",15.963,-1.133
"2018-10-23",13.659,-1.608
"2018-10-24",15.393,-0.567
"2018-10-25",17.277,-0.852
"2018-10-26",20.113,2.688
"2018-10-27",17.788,4.621
"2018-10-28",14.262,5.317
"2018-10-29",10.17,-2.218
"2018-10-30",8.301,-3.671
"2018-10-31",12.059,-2.58
"2018-11-01",16.501,0.653
"2018-11-02",18.021,-0.063
"2018-11-03",15.159,-0.622
"2018-11-04",17.164,1.36
"2018-11-05",15.535,-2.124
"2018-11-06",14.033,-4.364
"2018-11-07",13.306,-3.773
"2018-11-08",5.152,-5.837
"2018-11-09",12.766,-7.629
"2018-11-10",11.939,-4.965
"2018-11-11",7.972,-6.402
"2018-11-12",11.225,-6.858
"2018-11-13",11.767,-3.957
"2018-11-14",13.551,-4.07
"2018-11-15",15.28,-2.948
"2018-11-16",13.735,-3.377
"2018-11-17",12.836,-3.674
"2018-11-18",12.779,-5.362
"2018-11-19",10.939,-6.72
"2018-11-20",13.306,-5.47
"2018-11-21",6.512,0.367
"2018-11-22",2.391,-0.481
"2018-11-23",4.572,-0.532
"2018-11-24",8.128,-1.427
"2018-11-25",8.162,-2.478
"2018-11-26",9.47,-3.229
"2018-11-27",7.455,0.557
"2018-11-28",4.111,0.084
"2018-11-29",1.432,-1.072
"2018-11-30",1.785,-6.241
"2018-12-01",-0.543,-6.942
"2018-12-02",0.814,-11.546
"2018-12-03",0.863,-13.345
"2018-12-04",-2.177,-5.051
"2018-12-05",1.748,-4.462
"2018-12-06",-0.421,-5.354
"2018-12-07",5.395,-8.24
"2018-12-08",6.9,-8.044
"2018-12-09",9.303,-7.147
"2018-12-10",4.861,-5.618
"2018-12-11",6.526,-3.402
"2018-12-12",6.244,-4.65
"2018-12-13",11.188,-5.482
"2018-12-14",8.446,0.495
"2018-12-15",6.973,-0.084
"2018-12-16",6.966,0.379
"2018-12-17",4.018,-1.944
"2018-12-18",4.897,-1.749
"2018-12-19",11.161,-4.646
"2018-12-20",10.152,-1.881
"2018-12-21",4.313,-5.073
"2018-12-22",5.535,-7.007
"2018-12-23",3.517,-0.284
"2018-12-24",3.227,-4.301
"2018-12-25",-0.358,-7.389
"2018-12-26",4.582,-8.461
"2018-12-27",-2.03,-8.192
"2018-12-28",-1.861,-10.485
"2018-12-29",8.148,-10.052
"2018-12-30",8.065,-5.104
"2018-12-31",-4.081,-10.181
"2019-01-01",-1.254,-12.434
"2019-01-02",6.239,-9.853
"2019-01-03",10.682,-5.845
"2019-01-04",7.748,-4.117
"2019-01-05",4.654,-3.581
"2019-01-06",0.322,-4.63
"2019-01-07",3,-0.524
"2019-01-08",6.333,-0.365
"2019-01-09",2.988,-0.528
"2019-01-10",5.397,-5.144
"2019-01-11",6.532,-6.201
"2019-01-12",4.075,-6.122
"2019-01-13",5.302,-9.41
"2019-01-14",0.93,-9.393
"2019-01-15",0.642,-4.769
"2019-01-16",2.582,-0.061
"2019-01-17",1.198,-1.736
"2019-01-18",2.599,-2.303
"2019-01-19",5.61,0.518
"2019-01-20",4.107,-3.607
"2019-01-21",-1.339,-11.911
"2019-01-22",3.22,-12.752
"2019-01-23",8.419,-7.212
"2019-01-24",7.152,-7.611
"2019-01-25",10.201,-9.764
"2019-01-26",10.238,-4.867
"2019-01-27",13.253,-2.978
"2019-01-28",9.574,-3.637
"2019-01-29",9.221,-2.275
"2019-01-30",11.209,-3.705
"2019-01-31",10.425,-3.317
"2019-02-01",5.695,-0.81
"2019-02-02",2.401,-3.218
"2019-02-03",0.706,-4.238
"2019-02-04",-2.672,-8.767
"2019-02-05",-1.779,-11.746
"2019-02-06",-2.531,-15.188
"2019-02-07",0.439,-18.356
"2019-02-08",-2.294,-11.473
"2019-02-09",-3.683,-6.306
"2019-02-10",-2.882,-15.514
"2019-02-11",-0.776,-16.869
"2019-02-12",1.215,-11.044
"2019-02-13",4.686,-0.749
"2019-02-14",5.34,-4.816
"2019-02-15",-3.45,-7.393
"2019-02-16",-1.755,-8.613
"2019-02-17",-4.276,-9.781
"2019-02-18",-1.381,-15.306
"2019-02-19",1.819,-18.878
"2019-02-20",-0.366,-12.183
"2019-02-21",-4.698,-13.836
"2019-02-22",1.158,-18.807
"2019-02-23",2.83,-15.401
"2019-02-24",1.931,-3.191
"2019-02-25",2.217,-3.142
"2019-02-26",1.048,-1.163
"2019-02-27",3.518,-0.515
"2019-02-28",2.128,-1.148
"2019-03-01",3.465,-0.684
"2019-03-02",4.808,-0.545
"2019-03-03",4.422,-0.995
"2019-03-04",4.93,-3.24
"2019-03-05",3.532,-2.965
"2019-03-06",3.296,-0.895
"2019-03-07",3.76,-2.52
"2019-03-08",-0.575,-6.711
"2019-03-09",-0.812,-6.952
"2019-03-10",2.579,-8.288
"2019-03-11",4.211,-6.597
"2019-03-12",4.265,-10.479
"2019-03-13",1.212,-13.534
"2019-03-14",4.778,-13.703
"2019-03-15",8.254,-12.389
"2019-03-16",12.622,-7.642
"2019-03-17",13.034,-6.125
"2019-03-18",12.256,-4.453
"2019-03-19",11.609,-2.723
"2019-03-20",5.147,-1.557
"2019-03-21",4.869,-3.698
"2019-03-22",4.272,-5.723
"2019-03-23",2.777,-7.259
"2019-03-24",8.458,-11.278
"2019-03-25",6.775,-2.321
"2019-03-26",5.472,0.724
"2019-03-27",3.708,-5.384
"2019-03-28",3.434,-5.928
"2019-03-29",6.067,-6.171
"2019-03-30",7.972,-7.557
"2019-03-31",12.191,-5.9
"2019-04-01",9.453,-1.417
"2019-04-02",5.351,-0.769
"2019-04-03",7.275,-1.445
"2019-04-04",6.908,-0.324
"2019-04-05",4.178,-1.409
"2019-04-06",6.366,-0.807
"2019-04-07",9.989,2.343
"2019-04-08",9.976,1.226
"2019-04-09",3.845,-2.859
"2019-04-10",7.284,-7.293
"2019-04-11",4.863,-2.402
"2019-04-12",7.434,-4.985
"2019-04-13",12.698,-4.722
"2019-04-14",8.669,1.111
"2019-04-15",6.231,-0.499
"2019-04-16",7.378,-2.634
"2019-04-17",14.234,-3.772
"2019-04-18",17.968,-0.932
"2019-04-19",15.96,0.241
"2019-04-20",8.883,-1.691
"2019-04-21",8.703,-2.01
"2019-04-22",13.257,-1.488
"2019-04-23",17.34,-0.637
"2019-04-24",19.661,0.661
"2019-04-25",18.857,0.255
"2019-04-26",16.927,-0.113
"2019-04-27",16.556,-0.448
"2019-04-28",15.983,-1.296
"2019-04-29",14.081,-1.835
"2019-04-30",6.708,-3.146
"2019-05-01",10.251,-5.62
"2019-05-02",13.642,-3.92
"2019-05-03",15.024,-1.22
"2019-05-04",16.232,-1.542
"2019-05-05",17.623,-0.734
"2019-05-06",16.412,0.865
"2019-05-07",15.634,-0.122
"2019-05-08",16.016,0.557
"2019-05-09",13.799,0.366
"2019-05-10",13.745,-0.005
"2019-05-11",17.995,-0.662
"2019-05-12",19.595,1.138
"2019-05-13",16.013,1.172
"2019-05-14",13.425,3.119
"2019-05-15",7.627,2.097
"2019-05-16",3.62,-1.35
"2019-05-17",6.21,-1.524
"2019-05-18",6.781,-1.943
"2019-05-19",4.284,-2.642
"2019-05-20",6.459,-3.986
"2019-05-21",4.643,-1.304
"2019-05-22",6.535,-0.837
"2019-05-23",7.695,0.3
"2019-05-24",12.684,0.003
"2019-05-25",9.381,0.076
"2019-05-26",5.261,0.076
"2019-05-27",9.691,0.43
"2019-05-28",12.498,3.053
"2019-05-29",15.536,2.088
"2019-05-30",13.459,0.978
"2019-05-31",15.725,0.82
"2019-06-01",17.291,2.353
"2019-06-02",17.836,3.326
"2019-06-03",21.251,4.35
"2019-06-04",22.402,5.39
"2019-06-05",22.089,6.36
"2019-06-06",16.265,3.966
"2019-06-07",12.517,0.216
"2019-06-08",13.461,-1.199
"2019-06-09",19.893,0.699
"2019-06-10",23.468,4.02
"2019-06-11",25.484,6.128
"2019-06-12",24.411,7.516
"2019-06-13",22.326,6.752
"2019-06-14",23.035,7.118
"2019-06-15",22.463,6.371
"2019-06-16",22.875,6.102
"2019-06-17",23.56,6.321
"2019-06-18",25.043,7.402
"2019-06-19",23.371,7.299
"2019-06-20",19.266,5.076
"2019-06-21",16.58,1.457
"2019-06-22",17.789,1.939
"2019-06-23",21.266,2.803
"2019-06-24",19.772,4.718
"2019-06-25",18.109,3.676
"2019-06-26",14.798,3.69
"2019-06-27",14.105,4.566
"2019-06-28",14.734,2.481
"2019-06-29",18.126,0.658
"2019-06-30",19.462,3.928
"2019-07-01",20.188,2.668
"2019-07-02",19.618,3.93
"2019-07-03",19.044,2.543
"2019-07-04",20.863,3.164
"2019-07-05",23.685,5.346
"2019-07-06",22.472,3.724
"2019-07-07",20.005,4.537
"2019-07-08",19.637,4.366
"2019-07-09",21.738,2.905
"2019-07-10",23.089,7.069
"2019-07-11",25.086,6.627
"2019-07-12",26.274,7.004
"2019-07-13",24.633,6.79
"2019-07-14",23.253,6.301
"2019-07-15",23.099,5.76
"2019-07-16",22.303,5.39
"2019-07-17",24.572,6.268
"2019-07-18",23.55,7.966
"2019-07-19",23.524,7.572
"2019-07-20",25.646,6.329
"2019-07-21",25.646,9.527
"2019-07-22",25.109,10.81
"2019-07-23",24.243,10.186
"2019-07-24",25.968,8.849
"2019-07-25",26.643,9.392
"2019-07-26",24.306,11.152
"2019-07-27",26.762,9.153
"2019-07-28",26.889,9.816
"2019-07-29",24.511,7.418
"2019-07-30",24.214,5.889
"2019-07-31",24.437,5.46
"2019-08-01",23.9,4.963
"2019-08-02",25.24,4.999
"2019-08-03",27.102,6.852
"2019-08-04",24.908,7.105
"2019-08-05",25.505,5.641
"2019-08-06",25.539,11.528
"2019-08-07",24.903,9.016
"2019-08-08",22.467,8.143
"2019-08-09",18.937,5.763
"2019-08-10",15.533,3.577
"2019-08-11",20.526,1.129
"2019-08-12",23.887,5.127
"2019-08-13",25.496,6.375
"2019-08-14",28.194,6.615
"2019-08-15",28.569,7.755
"2019-08-16",26.248,7.852
"2019-08-17",25.55,6.968
"2019-08-18",25.601,7.308
"2019-08-19",24.492,7.912
"2019-08-20",24.68,6.721
"2019-08-21",25.586,4.98
"2019-08-22",24.524,8.335
"2019-08-23",26.587,7.573
"2019-08-24",26.044,9.715
"2019-08-25",25.156,8.175
"2019-08-26",28.302,6.508
"2019-08-27",29.094,9.581
"2019-08-28",27.454,11.234
"2019-08-29",23.696,9.111
"2019-08-30",23.755,6.679
"2019-08-31",25.22,5.176
"2019-09-01",25.469,6.319
"2019-09-02",25.285,10.715
"2019-09-03",25.304,10.42
"2019-09-04",24.929,9.389
"2019-09-05",23.902,10.032
"2019-09-06",22.399,7.738
"2019-09-07",21.308,5.262
"2019-09-08",17.306,2.368
"2019-09-09",16.44,0.486
"2019-09-10",14.525,-0.413
"2019-09-11",17.497,0.044
"2019-09-12",22.071,2.805
"2019-09-13",24.107,4.389
"2019-09-14",24.383,5.023
"2019-09-15",20.726,8.247
"2019-09-16",11.215,-0.587
"2019-09-17",14.873,-1.543
"2019-09-18",9.593,1.368
"2019-09-19",8.802,0.399
"2019-09-20",13.4,-0.26
"2019-09-21",16.048,0.183
"2019-09-22",16.913,2.344
"2019-09-23",16.049,1.83
"2019-09-24",21.107,3.38
"2019-09-25",21.367,6.603
"2019-09-26",22.793,5.806
"2019-09-27",17.923,6.514
"2019-09-28",9.168,-1.949
"2019-09-29",3.152,-3.1
"2019-09-30",3.42,-4.36
"2019-10-01",7.163,-4.979
"2019-10-02",14.574,-4.543
"2019-10-03",11.894,-0.823
"2019-10-04",12.769,-1.588
"2019-10-05",17.2,-1.815
"2019-10-06",18.26,-0.124
"2019-10-07",19.364,1.44
"2019-10-08",18.032,1.33
"2019-10-09",9.482,-2.862
"2019-10-10",9.385,-4.802
"2019-10-11",14.856,-3.268
"2019-10-12",16.47,-2.314
"2019-10-13",14.39,-1.319
"2019-10-14",16.048,-3.283
"2019-10-15",17.679,-0.918
"2019-10-16",15.769,1.435
"2019-10-17",8.773,-2.713
"2019-10-18",10.528,-4.153
"2019-10-19",8.862,-2.518
"2019-10-20",12.647,-3.611
"2019-10-21",14.885,-0.259
"2019-10-22",17.254,-0.956
"2019-10-23",13.217,0.751
"2019-10-24",14.844,1.086
"2019-10-25",20.182,0.134
"2019-10-26",18.167,-2.252
"2019-10-27",1.46,-5.53
"2019-10-28",11.535,-7.919
"2019-10-29",4.312,-8.295
"2019-10-30",7.204,-10.547
"2019-10-31",13.337,-7.488
"2019-11-01",13.89,-3.632
"2019-11-02",16.835,-2.177
"2019-11-03",16.611,-1.642
"2019-11-04",16.562,-1.289
"2019-11-05",16.895,-1.774
"2019-11-06",16.679,0.071
"2019-11-07",16.876,-1.14
"2019-11-08",17.35,-1.593
"2019-11-09",17.946,-1.432
"2019-11-10",16.212,0.249
"2019-11-11",13.954,-0.152
"2019-11-12",16.276,-0.403
"2019-11-13",15.575,-0.351
"2019-11-14",14.63,2.736
"2019-11-15",12.642,-0.901
"2019-11-16",14.189,-2.363
"2019-11-17",17.892,-0.198
"2019-11-18",18.211,-0.589
"2019-11-19",10.271,-0.278
"2019-11-20",0.513,-1.145
"2019-11-21",6.297,-2.903
"2019-11-22",7.053,-2.79
"2019-11-23",7.224,-4.523
"2019-11-24",13.435,-6.038
"2019-11-25",4.795,-9.55
"2019-11-26",-1.464,-11.379
"2019-11-27",-2.949,-10.857
"2019-11-28",-1.908,-10.765
"2019-11-29",-3.719,-10.787
"2019-11-30",1.957,-12.984
"2019-12-01",2.152,0.094
"2019-12-02",3.082,0.001
"2019-12-03",5.717,-1.236
"2019-12-04",1.703,-1.662
"2019-12-05",6.228,-2.611
"2019-12-06",6.527,-2.017
"2019-12-07",3.344,0.102
"2019-12-08",5.021,-2.31
"2019-12-09",4.39,-6.377
"2019-12-10",7.793,-6.752
"2019-12-11",4.471,-0.318
"2019-12-12",5.515,2.002
"2019-12-13",3.548,0.311
"2019-12-14",1.489,-4.615
"2019-12-15",-0.544,-11.888
"2019-12-16",1.017,-13.394
"2019-12-17",2.296,-10.427
"2019-12-18",0.954,-7.638
"2019-12-19",5.729,-3.83
"2019-12-20",8.339,-2.135
"2019-12-21",7.641,3.597
"2019-12-22",6.332,-2.939
"2019-12-23",0.586,-5.153
"2019-12-24",-0.58,-9.791
"2019-12-25",-1.1,-7.923
"2019-12-26",-1.167,-9.962
"2019-12-27",0.81,-13.545
"2019-12-28",4.032,-11.028
"2019-12-29",3.715,-4.83
"2019-12-30",3.725,-3.747
"2019-12-31",7.221,-4.861
"2020-01-01",6.797,-3.648
"2020-01-02",6.471,-4.802
"2020-01-03",12.196,-3.214
"2020-01-04",6.02,-1.671
"2020-01-05",3.054,-7.157
"2020-01-06",8.666,-7.476
"2020-01-07",7.713,-5.709
"2020-01-08",0.906,-5.254
