well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_binary,logger?,soil moisture,notes,ground_to_water_cm,date
EFR-XB3N,5/20/21 8:46,-73.4568,73.4568,73.4568,1,TRUE,moist to saturated,,,5/20/21
EWR-XB4N,5/20/21 8:48,-69.4944,69.4944,69.4944,1,TRUE,"moist, not saturated",,,5/20/21
LHT-1,5/20/21 6:53,-84.4296,84.4296,84.4296,1,FALSE,,frost on ground and grass,-37.7296,5/20/21
LET-1,5/20/21 6:54,-67.6656,67.6656,67.6656,1,FALSE,,,-29.4656,5/20/21
LWT-1,5/20/21 6:57,-85.6488,85.6488,85.6488,1,FALSE,,,-35.9488,5/20/21
EFR-XB1S,5/20/21 8:41,-136.2456,136.2456,136.2456,1,FALSE,moist,,,5/20/21
KHT-XD6N,6/6/21 6:28,-131.9784,131.9784,131.9784,1,FALSE,,,,6/6/21
KER-1,6/6/21 6:32,-100.076,99.9744,99.9744,1,FALSE,,,,6/6/21
KWR-XE1N,6/6/21 6:39,-135.8392,135.636,135.9408,1,FALSE,,,-45.5392,6/6/21
KFR-XE1S,6/6/21 6:41,-124.968,124.968,124.968,1,FALSE,,,,6/6/21
KFR-XE2S,6/6/21 6:42,-63.8048,64.008,63.7032,1,FALSE,,,,6/6/21
KER-XE3S,6/6/21 6:45,5.58800001,-5.08000001,-5.08000001,1,FALSE,,,5.58800001,6/6/21
KHT-XE4S,6/6/21 6:44,-105.9688,106.0704,106.0704,1,FALSE,,,-29.4688,6/6/21
KHT-XE5S,6/6/21 6:47,-112.0648,112.1664,112.1664,1,TRUE,,,,6/6/21
KHT-XE6S,6/6/21 6:52,-81.3816,81.3816,81.3816,1,FALSE,,,,6/6/21
KET-1,6/6/21 6:50,-53.6448,53.6448,53.6448,1,FALSE,,,-4.1448,6/6/21
KFF-XE8S,6/6/21 6:55,-44.196,44.196,44.196,1,FALSE,,"well sheared at ground, needs replacement; reading from ground not top of well",-44.196,6/6/21
KWT-1,6/6/21 6:58,-106.3752,106.3752,106.3752,1,FALSE,,,,6/6/21
KFF-XD6S,6/6/21 7:04,-83.82,83.82,83.82,1,TRUE,,,,6/6/21
KHT-XD3S,6/6/21 7:07,-131.6736,131.6736,131.6736,1,TRUE,,,,6/6/21
KHF-XD4S,6/6/21 7:06,-137.16,137.16,137.16,1,TRUE,,,-71.06,6/6/21
KHR-XD1S,6/6/21 7:08,-125.1712,125.2728,125.2728,1,,,,,6/6/21
KEF-1,6/6/21 7:15,-53.1368,53.0352,53.0352,1,TRUE,,,-2.1368,6/6/21
KHF-1,6/6/21 7:17,-115.5192,115.2144,115.5192,1,TRUE,,,-47.1192,6/6/21
KWF-1,6/6/21 7:19,-80.4672,80.4672,80.4672,1,FALSE,,,,6/6/21
KWR-1,6/6/21 7:21,,,,0,FALSE,,cap stuck shut,,6/6/21
KER-XD5N,6/6/21 7:42,-56.0832,56.388,56.388,1,TRUE,,,-21.0832,6/6/21
KHR-1,6/6/21 7:41,-87.6808,87.7824,87.7824,1,FALSE,,,,6/6/21
KHR-XD1N,6/6/21 7:38,-129.032,128.016,128.016,1,FALSE,,,-54.632,6/6/21
KHF-XE7S,6/6/21 6:53,-80.772,80.772,80.772,1,FALSE,,needs a black cap,,6/6/21
EHR-1,6/6/21 7:59,-109.728,109.728,109.728,1,FALSE,,,-54.128,6/6/21
EER-1,6/6/21 8:01,-116.2304,116.1288,116.1288,1,FALSE,,,-37.7304,6/6/21
EWR-1,6/6/21 8:02,-113.0808,113.0808,113.0808,1,FALSE,,,-21.7808,6/6/21
EFF-XA1N,6/6/21 8:10,-147.828,147.828,147.828,1,FALSE,,,,6/6/21
EFF-XA2N,6/6/21 8:09,-64.008,64.008,64.008,1,FALSE,,,,6/6/21
EWF-XA2S,6/6/21 8:13,-105.2576,105.156,105.156,1,FALSE,,,,6/6/21
EHF-XA3S,6/6/21 8:12,-145.4912,145.0848,145.6944,1,FALSE,,,,6/6/21
EHT-XA5S,6/6/21 8:15,-117.4496,117.348,117.348,1,TRUE,,,,6/6/21
EET-2,6/6/21 8:16,-129.3368,129.2352,129.2352,1,FALSE,,,,6/6/21
EFT-XB6S,6/6/21 8:27,-59.5376,59.436,59.436,1,FALSE,,,,6/6/21
EWT-1,6/6/21 8:18,-149.1488,149.0472,149.0472,1,TRUE,,,,6/6/21
EHT-XB5S,6/6/21 8:24,-83.6168,83.5152,83.5152,1,TRUE,,,-61.4168,6/6/21
EFF-XB7S,6/6/21 8:30,-62.484,62.484,62.484,1,FALSE,saturated,,-12.484,6/6/21
EEF-1,6/6/21 8:31,-97.536,94.488,97.536,1,FALSE,saturated,,,6/6/21
EET-1,6/6/21 8:34,-109.6264,109.4232,109.728,1,FALSE,,,-50.6264,6/6/21
EET-XB4S,6/6/21 8:38,-129.4384,129.54,129.54,1,FALSE,,,,6/6/21
EFR-XB3S,6/6/21 8:39,-137.16,137.16,137.16,1,TRUE,,,-50.26,6/6/21
EFR-XB2S,6/6/21 8:41,-142.0368,142.0368,142.0368,1,FALSE,,,-45.1368,6/6/21
EHR-XB1N,6/6/21 8:43,-141.3256,141.1224,141.4272,1,TRUE,,,,6/6/21
EFR-XB2N,6/6/21 8:44,-58.1152,58.2168,58.2168,1,TRUE,,,,6/6/21
EFR-XB3N,6/6/21 8:45,-81.788,81.6864,81.6864,1,TRUE,,,,6/6/21
EWR-XB4N,6/6/21 8:46,-78.0288,77.724,78.0288,1,FALSE,,,,6/6/21
LHT-1,6/6/21 9:19,-98.1456,98.1456,98.1456,1,FALSE,,mud,-51.4456,6/6/21
LET-1,6/6/21 9:20,-79.9592,79.8576,79.8576,1,FALSE,,,-41.7592,6/6/21
LWT-1,6/6/21 9:23,-95.504,95.4024,95.4024,1,FALSE,,,-45.804,6/6/21
EFR-XB1S,6/6/21 8:42,-138.5824,137.16,139.2936,1,FALSE,,,,6/6/21
KHT-XD6N,6/20/21 7:14,-115.316,115.2144,115.2144,1,FALSE,,,,6/20/21
KER-XD5N,6/20/21 7:12,-76.8096,76.8096,76.8096,1,TRUE,,,-41.8096,6/20/21
KHR-1,6/20/21 7:11,-142.748,142.6464,142.6464,1,FALSE,,,,6/20/21
KHR-XD1N,6/20/21 7:11,-126.2888,126.1872,126.1872,1,FALSE,,,-51.8888,6/20/21
KER-1,6/20/21 7:07,-147.32,147.2184,147.2184,1,FALSE,,near bottom,,6/20/21
KWR-XE1N,6/20/21 7:00,-139.192,138.9888,139.2936,1,FALSE,,,-48.892,6/20/21
KFR-XE1S,6/20/21 6:58,-127.1016,126.7968,127.1016,1,FALSE,,,,6/20/21
KFR-XE2S,6/20/21 6:57,-63.7032,63.3984,63.7032,1,FALSE,,,,6/20/21
KER-XE3S,6/20/21 6:57,6.633333333,-6,-6.5,1,FALSE,,,6.633333333,6/20/21
KHT-XE4S,6/20/21 6:53,-131.064,131.064,131.064,1,FALSE,,,-54.564,6/20/21
KHT-XE5S,6/20/21 6:52,-144.5768,144.4752,144.4752,1,FALSE,,,,6/20/21
KET-1,6/20/21 6:48,-53.0352,53.0352,53.0352,1,FALSE,,,-3.5352,6/20/21
KHT-XE6S,6/20/21 6:50,-121.7168,121.6152,121.6152,1,FALSE,,,,6/20/21
KFF-XE8S,6/20/21 6:45,-121.92,121.92,121.92,1,FALSE,,,-121.92,6/20/21
KWT-1,6/20/21 6:41,-83.82,83.82,83.82,1,FALSE,,ground to top = 6.8 cm,-77.02,6/20/21
KFF-XD6S,6/20/21 6:35,-134.5184,134.4168,134.4168,1,FALSE,,,,6/20/21
KHT-XD3S,6/20/21 6:31,,,,0,FALSE,,no water,,6/20/21
KHF-XD4S,6/20/21 6:32,-153.924,153.924,153.924,1,FALSE,,,-87.824,6/20/21
KHR-XD1S,6/20/21 6:30,-125.8824,125.8824,125.8824,1,FALSE,,,,6/20/21
KEF-1,6/20/21 6:23,-54.356,54.2544,54.2544,1,FALSE,,,-3.356,6/20/21
KHF-1,6/20/21 6:21,-135.3312,135.3312,135.3312,1,FALSE,,,-135.3312,6/20/21
KWF-1,6/20/21 6:18,-85.344,85.344,85.344,1,FALSE,,,,6/20/21
KWR-1,6/20/21 12:56,-103.632,103.632,103.632,1,FALSE,,"ground to top = 75.7, 71.2, 70.4 cm",-32.292,6/20/21
KHF-XE7S,6/20/21 6:47,-83.82,83.82,83.82,1,FALSE,,,,6/20/21
EHR-1,6/20/21 7:43,-115.0112,114.9096,114.9096,1,FALSE,,,-59.4112,6/20/21
EER-1,6/20/21 7:45,-118.9736,118.872,118.872,1,FALSE,,,-40.4736,6/20/21
EWR-1,6/20/21 7:46,-115.1128,115.2144,115.2144,1,FALSE,,,-23.8128,6/20/21
EFF-XA1N,6/20/21 7:54,-148.336,148.1328,148.4376,1,FALSE,,,,6/20/21
EFF-XA2N,6/20/21 7:53,-101.3968,101.1936,101.4984,1,FALSE,,,,6/20/21
EHT-XC5S,6/20/21 8:23,-121.92,121.92,121.92,1,FALSE,,past instrumentation at forest edge,,6/20/21
EWF-XA2S,6/20/21 7:57,-153.416,153.3144,153.3144,1,FALSE,,near bottom,,6/20/21
EHF-XA3S,6/20/21 7:58,-152.4,152.4,152.4,1,FALSE,,mud at bottom,,6/20/21
EHT-XA5S,6/20/21 8:01,-143.1544,142.9512,143.256,1,TRUE,,,,6/20/21
EET-2,6/20/21 8:02,-148.7424,148.7424,148.7424,1,FALSE,,near bottom,,6/20/21
EFT-XB6S,6/20/21 8:12,-96.9264,96.9264,96.9264,1,FALSE,,,,6/20/21
EWT-1,6/20/21 8:05,-150.876,150.876,150.876,1,TRUE,,mud at bottom,,6/20/21
EHT-XB5S,6/20/21 8:10,-115.4176,115.5192,115.5192,1,FALSE,,,-93.2176,6/20/21
EFF-XB7S,6/20/21 8:14,-75.0824,74.9808,74.9808,1,FALSE,"saturated, no standing water",,-25.0824,6/20/21
EEF-1,6/20/21 8:17,-128.4224,128.3208,128.3208,1,FALSE,moist not saturated,,,6/20/21
EET-1,6/20/21 8:20,-143.3576,143.256,143.256,1,FALSE,moist to dry,,-84.3576,6/20/21
EFR-XB3S,6/20/21 8:29,-151.0792,151.1808,151.1808,1,TRUE,,,-64.1792,6/20/21
EFR-XB2S,6/20/21 8:30,,,,0,FALSE,,no water,,6/20/21
EHR-XB1N,6/20/21 8:33,-145.6944,145.6944,145.6944,1,TRUE,,,,6/20/21
EFR-XB2N,6/20/21 8:34,-62.992,60.96,64.008,1,TRUE,,,,6/20/21
EFR-XB3N,6/20/21 8:36,-85.1408,85.0392,85.0392,1,TRUE,,,,6/20/21
EWR-XB4N,6/20/21 8:37,-81.788,81.6864,81.6864,1,TRUE,,,,6/20/21
EFR-XB1S,6/20/21 8:31,-128.016,128.016,128.016,1,FALSE,,,,6/20/21
LHT-1,6/20/21 9:05,-114.7064,114.6048,114.6048,1,FALSE,,,-68.0064,6/20/21
LWT-1,6/20/21 9:07,-108.204,108.204,108.204,1,FALSE,,,-58.504,6/20/21
LET-1,6/20/21 9:06,-96.2152,96.012,96.012,1,FALSE,,,-58.0152,6/20/21
EET-XB4S,6/20/21 8:27,-141.224,141.1224,141.4272,1,FALSE,,sedge dominant,,6/20/21
KHR-1,7/2/21 20:04,-127.1016,127.1016,127.1016,1,TRUE,,Friday night,,7/2/21
KHT-XD6N,7/4/21 6:59,-179.7304,179.832,179.832,1,FALSE,,,,7/4/21
KER-XD5N,7/4/21 7:00,-102.108,102.108,102.108,1,FALSE,,,-67.108,7/4/21
KHR-1,7/4/21 7:03,-126.5936,126.492,126.492,1,TRUE,,gain of .02 inches,,7/4/21
KHR-XD1N,7/4/21 7:05,-126.7968,127.1016,126.492,1,FALSE,,,-52.3968,7/4/21
KER-1,7/4/21 7:08,-117.1448,117.0432,117.0432,1,FALSE,,,,7/4/21
KWR-XE1N,7/4/21 7:14,-139.5984,139.5984,139.5984,1,FALSE,,,-49.2984,7/4/21
KFR-XE1S,7/4/21 7:17,-127,126.7968,127.1016,1,FALSE,,,,7/4/21
KFR-XE2S,7/4/21 7:18,-64.7192,64.6176,64.6176,1,FALSE,"saturated, soggy",,,7/4/21
KHT-XE4S,7/4/21 7:19,-141.732,141.732,141.732,1,FALSE,,,-65.232,7/4/21
KER-XE3S,7/4/21 7:20,7.55904,-6.49224,-8.19912,1,FALSE,,,7.55904,7/4/21
KHT-XE5S,7/4/21 7:23,-148.844,148.7424,148.7424,1,FALSE,,,,7/4/21
KHT-XE6S,7/4/21 7:25,-180.4416,180.4416,180.4416,1,FALSE,,at or near bottom,,7/4/21
KET-1,7/4/21 7:25,-53.848,53.9496,53.9496,1,TRUE,,,-4.348,7/4/21
KHF-XE7S,7/4/21 7:28,-84.4296,84.4296,84.4296,1,FALSE,,"at or near bottom, no cap, sediment?",,7/4/21
KFF-XE8S,7/4/21 7:30,-143.256,143.256,143.256,1,FALSE,,"mud, near bottom",-143.256,7/4/21
KWT-1,7/4/21 7:35,-135.4328,135.3312,135.3312,1,FALSE,,,-128.6328,7/4/21
KFF-XD6S,7/4/21 7:45,,,,0,FALSE,,no water,,7/4/21
KHF-XD4S,7/4/21 7:46,,,,0,FALSE,,no water,,7/4/21
KHT-XD3S,7/4/21 7:47,,,,0,FALSE,,no water,,7/4/21
KHR-XD1S,7/4/21 7:50,-126.5936,126.492,126.492,1,TRUE,,,,7/4/21
KEF-1,7/4/21 7:57,-53.34,53.34,53.34,1,FALSE,"saturated, soggy",double-checked meter reading,-2.34,7/4/21
KHF-1,7/4/21 7:58,-59.436,59.436,59.436,1,FALSE,,"ground to top is zero, no well casing",-59.436,7/4/21
KWF-1,7/4/21 8:02,-100.6856,100.8888,100.584,1,FALSE,,,,7/4/21
KWR-1,7/4/21 8:05,-103.632,103.632,103.632,1,FALSE,,"ground to top is 61, 67, 72.4 (cm)",-32.292,7/4/21
KHF-1,7/5/21 17:36,-97.9424,97.8408,97.8408,1,FALSE,,,-97.9424,7/5/21
KWT-1,7/5/21 18:00,-141.4272,141.4272,141.4272,1,FALSE,,,-134.6272,7/5/21
KHT-XE5S,7/5/21 18:05,-147.828,147.828,147.828,1,FALSE,,,,7/5/21
EHR-1,7/5/21 7:30,-113.284,113.0808,113.3856,1,TRUE,,,-57.684,7/5/21
EER-1,7/5/21 7:32,-119.5832,119.4816,119.4816,1,TRUE,,,-41.0832,7/5/21
EWR-1,7/5/21 7:35,-115.6208,115.5192,115.5192,1,FALSE,,,-24.3208,7/5/21
EFF-XA1N,7/5/21 7:46,-149.5552,149.6568,149.6568,1,FALSE,,change to EWR-A1N; aside gravel bar in willows,,7/5/21
EFF-XA2N,7/5/21 7:43,-74.2696,74.3712,74.3712,1,FALSE,,"EFR-A2N. Riparian? Pines within 2m, also sedge and horsetail locally, big bar to north",,7/5/21
EWF-XA2S,7/5/21 7:49,,,,0,FALSE,,no water; dry on 07/03 at 12pm; 0 mm of mud at bottom,,7/5/21
EHF-XA3S,7/5/21 7:50,,,,0,FALSE,,no water; dry on 07/03 at 12pm; 1 mm of mud at bottom,,7/5/21
EHT-XA5S,7/5/21 7:55,,,,0,FALSE,soil moist-dry,no water; augered to 122 cm below ground and still no water,,7/5/21
EET-2,7/5/21 7:57,-149.4536,149.352,149.352,1,FALSE,soil moist-dry,mud,,7/5/21
EWT-1,7/5/21 7:59,-152.4,152.4,152.4,1,FALSE,soil moist-dry,hot bottom but clear water reading on meter,,7/5/21
EHT-XB5S,7/5/21 8:06,-143.1544,143.256,143.256,1,FALSE,,Fan? Cobble- to boulder-sized rocks at surface,-120.9544,7/5/21
EFT-XB6S,7/5/21 8:09,-119.888,119.7864,120.0912,1,FALSE,,"locally MH, tree within 2 meters",,7/5/21
EFF-XB7S,7/5/21 8:11,-104.2416,104.2416,104.2416,1,FALSE,,"locally MH, tree within 2 meters",-54.2416,7/5/21
EEF-1,7/5/21 8:17,-135.7376,135.636,135.636,1,TRUE,,carex and juncus,,7/5/21
EET-1,7/5/21 8:24,,,,0,TRUE,,"no water; new phenocam spot, EHW present.",,7/5/21
EHT-XC5S,7/5/21 8:22,-146.1008,145.9992,145.9992,1,FALSE,,EHT?,,7/5/21
EET-XB4S,7/5/21 8:33,-145.3896,145.3896,145.3896,1,FALSE,,"EER? sedge or MH? downslope of terrace, out of pine canopy, >5m from tree",,7/5/21
EFR-XB3S,7/5/21 8:38,,,,0,TRUE,,no water; Forest <2 m from pine,,7/5/21
EFR-XB2S,7/5/21 8:39,,,,0,FALSE,,no water; Forest 2.7m from tree,,7/5/21
EFR-XB1S,7/5/21 8:41,-140.4112,140.208,140.5128,1,FALSE,,Forest <2m from pine,,7/5/21
EHR-XB1N,7/5/21 8:44,-147.828,147.828,147.828,1,FALSE,,"MH, 4m from pine base and 3m from canopy",,7/5/21
EFR-XB2N,7/5/21 8:46,-63.1952,63.0936,63.0936,1,TRUE,,clearly MH,,7/5/21
EFR-XB3N,7/5/21 8:49,-85.9536,85.9536,85.9536,1,TRUE,,"clearly W, at canopy edge",,7/5/21
EWR-XB4N,7/5/21 8:50,-83.2104,82.9056,83.2104,1,TRUE,,clearly W,,7/5/21
LHT-1,7/4/21 9:03,-131.064,131.064,131.064,1,FALSE,,,-84.364,7/4/21
LET-1,7/4/21 9:05,-112.776,112.776,112.776,1,FALSE,,,-74.576,7/4/21
LWT-1,7/4/21 9:11,-112.268,112.1664,112.1664,1,FALSE,,,-62.568,7/4/21
EHT-XA5S,7/16/21 8:35,,,,0,FALSE,,new well,,7/16/21
EWT-1,7/16/21 8:40,-134.0104,134.112,134.112,1,FALSE,,"new well, no well casing yet so top to ground = 0",,7/16/21
EET-2,7/16/21 8:45,,,,0,FALSE,,new well,,7/16/21
KHT-XD6N,7/20/21 6:48,-218.44,218.5416,218.5416,1,FALSE,,,,7/20/21
KER-XD5N,7/20/21 6:52,-120.396,120.0912,120.396,1,TRUE,,,-85.396,7/20/21
KHR-1,7/20/21 6:53,-144.78,144.78,144.78,1,TRUE,,,,7/20/21
KHR-XD1N,7/20/21 6:55,-127.8128,128.016,127.7112,1,TRUE,,,-53.4128,7/20/21
KER-1,7/20/21 6:57,-147.7264,147.828,147.828,1,FALSE,mud,,,7/20/21
KWR-XE1N,7/20/21 7:04,-147.7264,147.828,147.828,1,FALSE,,,-57.4264,7/20/21
KFR-XE1S,7/20/21 7:05,-130.048,130.1496,130.1496,1,FALSE,dry,,,7/20/21
KFR-XE2S,7/20/21 7:06,-63.7032,63.7032,63.7032,1,FALSE,,,,7/20/21
KER-XE3S,7/20/21 7:08,6.3,-4.2,-6.9,1,FALSE,ponded water,in centimeters? not noted,6.3,7/20/21
KHT-XE4S,7/20/21 7:09,-141.732,141.732,141.732,1,FALSE,dry,mud at bottom,-65.232,7/20/21
KHT-XE5S,7/20/21 7:11,-99.6696,99.6696,99.6696,1,FALSE,dry,,-63.3196,7/20/21
KHT-XE6S,7/20/21 7:13,-112.6744,112.4712,112.776,1,TRUE,dry,,-61.7494,7/20/21
KET-1,7/20/21 7:17,-66.4464,66.4464,66.4464,1,FALSE,dry,,-16.9464,7/20/21
KHF-XE7S,7/20/21 7:15,,,,0,FALSE,dry,no water,,7/20/21
KFF-XE8S,7/20/21 7:21,-142.6464,142.6464,142.6464,1,FALSE,dry,mud near bottom,-142.6464,7/20/21
KWT-1,7/20/21 7:25,-143.5608,143.5608,143.5608,1,FALSE,dry,mud close to bottom,-136.7608,7/20/21
KFF-XD6S,7/20/21 7:36,,,,0,TRUE,dry,no water,,7/20/21
KHR-XD1S,7/20/21 7:39,-127.7112,127.7112,127.7112,1,TRUE,dry,,,7/20/21
KEF-1,7/20/21 7:49,-54.5592,54.5592,54.5592,1,TRUE,dry,,-3.5592,7/20/21
KHF-1,7/20/21 7:50,-110.0328,110.0328,110.0328,1,TRUE,dry,,-110.0328,7/20/21
KWF-1,7/20/21 7:53,-144.78,144.78,144.78,1,FALSE,dry,,,7/20/21
KWR-1,7/20/21 7:56,-103.632,103.632,103.632,1,FALSE,dry,,-32.292,7/20/21
EHR-1,7/20/21 8:16,-118.364,118.2624,118.2624,1,FALSE,dry,,-62.764,7/20/21
EER-1,7/20/21 8:18,-124.968,124.968,124.968,1,FALSE,dry,,-46.468,7/20/21
EWR-1,7/20/21 8:19,-116.5352,116.4336,116.4336,1,FALSE,dry,,-25.2352,7/20/21
EFF-XA1N,7/20/21 8:26,-148.844,148.7424,148.7424,1,FALSE,dry,,,7/20/21
EFF-XA2N,7/20/21 8:25,-78.6384,78.6384,78.6384,1,FALSE,dry,,,7/20/21
EWF-XA2S,7/20/21 8:28,,,,0,FALSE,dry,"no water, mud",,7/20/21
EHT-XA5S,7/20/21 8:30,,,,0,FALSE,dry,no water,,7/20/21
EET-2,7/20/21 8:31,,,,0,FALSE,dry,no water,,7/20/21
EWT-1,7/20/21 8:32,-197.9168,197.8152,197.8152,1,FALSE,dry,no cap,-133.4168,7/20/21
EHT-XB5S,7/20/21 8:36,,,,0,FALSE,dry,no water,,7/20/21
EFT-XB6S,7/20/21 8:38,-149.9616,149.9616,149.9616,1,FALSE,dry,,,7/20/21
EFF-XB7S,7/20/21 8:40,-128.9304,128.9304,128.9304,1,FALSE,soil wet not saturated,,-78.9304,7/20/21
EEF-1,7/20/21 8:42,-138.684,138.684,138.684,1,TRUE,dry,,,7/20/21
EET-1,7/20/21 8:45,-148.7424,148.7424,148.7424,1,TRUE,dry,some mud at bottom,-89.7424,7/20/21
EHT-XC5S,7/20/21 8:47,-149.6568,149.6568,149.6568,1,TRUE,dry,near bottom,,7/20/21
EET-XB4S,7/20/21 8:51,-155.448,155.448,155.448,1,FALSE,dry,mud,,7/20/21
EFR-XB3S,7/20/21 8:51,,,,0,TRUE,dry,no water no mud,,7/20/21
EFR-XB2S,7/20/21 8:53,-154.2288,154.2288,154.2288,1,FALSE,dry,at bottom water present,-57.3288,7/20/21
EFR-XB1S,7/20/21 8:54,-141.1224,141.1224,141.1224,1,FALSE,dry,,,7/20/21
EHR-XB1N,7/20/21 8:55,-154.432,152.4,155.448,1,TRUE,dry,,,7/20/21
EFR-XB2N,7/20/21 8:55,-67.3608,67.3608,67.3608,1,TRUE,dry,,,7/20/21
EFR-XB3N,7/20/21 8:56,-116.6368,116.4336,116.7384,1,TRUE,dry,,,7/20/21
EWR-XB4N,7/20/21 8:57,-88.392,88.392,88.392,1,TRUE,dry,,,7/20/21
LHT-1,7/20/21 9:25,-139.8016,139.5984,139.9032,1,FALSE,dry,mud,-93.1016,7/20/21
LET-1,7/20/21 9:27,-143.256,143.256,143.256,1,FALSE,dry,,-105.056,7/20/21
LWT-1,7/20/21 9:28,-119.1768,119.1768,119.1768,1,FALSE,dry,,-69.4768,7/20/21
KHT-XD6N,8/6/21 7:54,-231.0384,231.0384,231.0384,1,FALSE,,,,8/6/21
KER-XD5N,8/6/21 6:40,-126.492,126.492,126.492,1,TRUE,,,-91.492,8/6/21
KHR-1,8/6/21 6:42,-145.1864,145.0848,145.0848,1,TRUE,,,,8/6/21
KHR-XD1N,8/6/21 6:44,-127.8128,128.016,127.7112,1,TRUE,,,-53.4128,8/6/21
KER-1,8/6/21 6:47,,,,0,FALSE,,no water,,8/6/21
KWR-XE1N,8/6/21 6:53,-140.5128,140.5128,140.5128,1,FALSE,,,-50.2128,8/6/21
KFR-XE1S,8/6/21 6:55,-129.8448,129.8448,129.8448,1,FALSE,,,,8/6/21
KFR-XE2S,8/6/21 6:56,-72.136,70.104,73.152,1,FALSE,"saturated, not standing water",,,8/6/21
KER-XE3S,8/6/21 6:59,8,-7,-6,1,FALSE,,"7, 6, 11 cm deep",8,8/6/21
KHT-XE4S,8/6/21 7:00,-142.6464,142.6464,142.6464,1,FALSE,,at bottom,-66.1464,8/6/21
KHT-XE5S,8/6/21 7:03,-125.8824,125.8824,125.8824,1,FALSE,,,-89.5324,8/6/21
KHT-XE6S,8/6/21 7:04,-135.3312,135.3312,135.3312,1,TRUE,,,-84.4062,8/6/21
KHF-XE7S,8/6/21 7:06,,,,0,FALSE,,"no water, seems shallow",,8/6/21
KFF-XE8S,8/6/21 7:09,,,,0,FALSE,,no water,,8/6/21
KET-1,8/6/21 7:05,-79.8576,79.8576,79.8576,1,FALSE,,logger #4 installed at 7:24 a.m.,-30.3576,8/6/21
KWT-1,8/6/21 7:11,-175.8696,175.8696,175.8696,1,FALSE,,"logger caked in mud at bottom, move logger to KET-1",-169.0696,8/6/21
KHR-XD1S,8/6/21 7:30,-128.016,128.016,128.016,1,FALSE,,,,8/6/21
KEF-1,8/6/21 7:38,-57.7088,57.6072,57.6072,1,TRUE,saturated,,-6.7088,8/6/21
KHF-1,8/6/21 7:37,-150.876,150.876,150.876,1,TRUE,,,-150.876,8/6/21
KWF-1,8/6/21 7:40,-145.796,145.6944,145.6944,1,FALSE,,mud with sand,,8/6/21
KWR-1,8/6/21 7:43,-104.5464,104.5464,104.5464,1,FALSE,,,-33.2064,8/6/21
EHR-1,8/6/21 8:09,-119.7864,119.7864,119.7864,1,FALSE,,,-64.1864,8/6/21
EER-1,8/6/21 8:11,-126.6952,126.492,126.7968,1,FALSE,,,-48.1952,8/6/21
EWR-1,8/6/21 8:12,-116.7384,116.7384,116.7384,1,FALSE,,,-25.4384,8/6/21
EFF-XA1N,8/6/21 8:20,-150.5712,150.5712,150.5712,1,FALSE,,mud,,8/6/21
