meter_id,well_id,timestamp,welltop_to_water_cm,water_binary,welltop_to_ground_cm,total_well_length_cm,ground_elevation_m,welltop_elevation_m,offset_date,offset_cm,std_dev_cm,ground_to_water_cm
v1,EER-1,6/18/18 7:21,104.775,1,78.30531333,154.7,NA,NA,6/1/18,3.45875,NA,-29.92843667
v1,EER-1,6/30/18 8:20,113.7708333,1,78.30531333,154.7,NA,NA,6/1/18,3.45875,NA,-38.92427
v2,EER-1,7/16/18 7:57,117.7,1,78.30531333,154.7,NA,NA,7/15/18,4.595,0.211448638,-43.98968667
v2,EER-1,7/25/18 7:25,116.8333333,1,78.30531333,154.7,NA,NA,7/15/18,4.595,0.211448638,-43.12302
v3,EER-1,8/10/18 6:35,118,1,78.30531333,154.7,NA,NA,8/24/18,3.6,0.322748612,-43.29468667
v3,EER-1,8/24/18 8:00,116.5333333,1,78.30531333,154.7,NA,NA,8/24/18,3.6,0.322748612,-41.82802
v3,EER-1,9/16/18 7:25,111.3333333,1,78.30531333,154.7,NA,NA,8/24/18,3.6,0.322748612,-36.62802
v3,EER-1,9/29/18 8:21,107.8666667,1,78.30531333,154.7,NA,NA,8/24/18,3.6,0.322748612,-33.16135333
v3,EER-1,11/18/18 13:56,100.4333333,1,78.30531333,154.7,NA,NA,8/24/18,3.6,0.322748612,-25.72802
nm,EER-1,6/2/19 8:07,81.06666667,1,78.30531333,154.7,NA,NA,10/8/20,0,NA,-2.761353333
v4,EER-1,6/18/19 7:36,89.46666667,1,78.30531333,154.7,NA,NA,6/18/19,3.45875,NA,-14.62010333
v5,EER-1,7/6/19 8:15,108.475,1,78.30531333,154.7,NA,NA,7/6/19,3.45875,NA,-33.62843667
v.070919,EER-1,7/26/19 7:20,113.3666667,1,78.30531333,154.7,NA,NA,10/17/20,3.04,0.466535285,-38.10135333
bamboo speaker wire,EER-1,8/5/19 6:42,114.5,1,78.30531333,154.7,NA,NA,9/2/19,2.65,0.744983221,-38.84468667
v6,EER-1,8/20/19 8:51,114.7333333,1,78.30531333,154.7,NA,NA,9/2/19,2.99,0.555443284,-39.41802
v6,EER-1,9/3/19 8:44,114.5666667,1,78.30531333,154.7,NA,NA,9/2/19,2.99,0.555443284,-39.25135333
v6,EER-1,9/21/19 9:25,100.4,1,78.30531333,154.7,NA,NA,9/2/19,2.99,0.555443284,-25.08468667
v6,EER-1,10/5/19 7:04,99.23333333,1,78.30531333,154.7,NA,NA,9/2/19,2.99,0.555443284,-23.91802
v6,EER-1,10/20/19 14:14,97.73333333,1,78.30531333,154.7,NA,NA,9/2/19,2.99,0.555443284,-22.41802
v1,EET-1,6/1/18 7:56,65.29916667,1,59.3896875,148.3545455,NA,NA,6/1/18,3.45875,NA,-9.368229167
v1,EET-1,6/18/18 8:38,104.6691667,1,59.3896875,148.3545455,NA,NA,6/1/18,3.45875,NA,-48.73822917
v1,EET-1,6/30/18 9:00,142.3458333,1,59.3896875,148.3545455,NA,NA,6/1/18,3.45875,NA,-86.41489583
v2,EET-1,7/16/18 8:47,144.9333333,1,59.3896875,148.3545455,NA,NA,7/15/18,4.595,0.211448638,-90.13864583
nw,EET-1,7/25/18 8:25,NA,0,59.3896875,148.3545455,NA,NA,10/13/20,0,NA,-88.96485795
v3,EET-1,8/10/18 7:23,145.3333333,1,59.3896875,148.3545455,NA,NA,8/24/18,3.6,0.322748612,-89.54364583
nw,EET-1,8/24/18 8:45,NA,0,59.3896875,148.3545455,NA,NA,10/13/20,0,NA,-88.96485795
nw,EET-1,9/16/18 8:02,NA,0,59.3896875,148.3545455,NA,NA,10/13/20,0,NA,-88.96485795
nw,EET-1,9/29/18 8:34,NA,0,59.3896875,148.3545455,NA,NA,10/13/20,0,NA,-88.96485795
v3,EET-1,11/18/18 13:39,127.9,1,59.3896875,148.3545455,NA,NA,8/24/18,3.6,0.322748612,-72.1103125
nm,EET-1,6/2/19 18:40,57.5,1,59.3896875,148.3545455,NA,NA,10/8/20,0,NA,1.8896875
v3,EET-1,6/18/19 9:00,83.86666667,1,59.3896875,148.3545455,NA,NA,8/24/18,3.6,0.322748612,-28.07697917
v.070919,EET-1,7/26/19 7:51,144,1,59.3896875,148.3545455,NA,NA,10/17/20,3.04,0.466535285,-87.6503125
bamboo speaker wire,EET-1,8/5/19 7:18,144,1,59.3896875,148.3545455,NA,NA,9/2/19,2.65,0.744983221,-87.2603125
nw,EET-1,8/20/19 9:15,NA,0,59.3896875,148.3545455,NA,NA,10/13/20,0,NA,-88.96485795
nw,EET-1,9/21/19 9:31,NA,0,59.3896875,148.3545455,NA,NA,10/13/20,0,NA,-88.96485795
v6,EET-1,10/20/19 15:00,140.4333333,1,59.3896875,148.3545455,NA,NA,9/2/19,2.99,0.555443284,-84.03364583
v5,EET-2,7/6/19 8:44,92.53333333,1,NA,147.8333333,1934.203,1934.669,7/6/19,3.45875,NA,
v.070919,EET-2,7/26/19 7:40,125.6,1,NA,147.8333333,1934.203,1934.669,10/17/20,3.04,0.466535285,
v.070919,EET-2,7/26/19 12:09,120.6,1,NA,147.8333333,1934.203,1934.669,10/17/20,3.04,0.466535285,
v6,EET-2,9/3/19 9:08,145.5,1,NA,147.8333333,1934.203,1934.669,9/2/19,2.99,0.555443284,
v6,EET-2,10/20/19 14:35,103.8,1,NA,147.8333333,1934.203,1934.669,9/2/19,2.99,0.555443284,
v4,EFF-XA1N,6/18/19 7:56,117.1666667,1,NA,NA,1928.617,NA,6/18/19,3.45875,NA,
v5,EFF-XA1N,7/6/19 8:31,139.9,1,NA,NA,1928.617,NA,7/6/19,3.45875,NA,
v.070919,EFF-XA1N,7/26/19 7:32,141.7,1,NA,NA,1928.617,NA,10/17/20,3.04,0.466535285,
bamboo speaker wire,EFF-XA1N,8/5/19 6:55,NA,0,NA,NA,1928.617,NA,9/2/19,2.65,0.744983221,
v6,EFF-XA1N,9/21/19 10:39,124.5,1,NA,NA,1928.617,NA,9/2/19,2.99,0.555443284,
v6,EFF-XA1N,10/5/19 7:35,52.4,1,NA,NA,1928.617,NA,9/2/19,2.99,0.555443284,
v6,EFF-XA1N,10/20/19 14:25,120.6666667,1,NA,NA,1928.617,NA,9/2/19,2.99,0.555443284,
v1,EFF-XA2N,5/31/18 8:55,50.05916667,1,44.56466667,NA,1928.717,1929.184,6/1/18,3.45875,NA,-8.95325
v1,EFF-XA2N,6/18/18 7:35,57.36166667,1,44.56466667,NA,1928.717,1929.184,6/1/18,3.45875,NA,-16.25575
v1,EFF-XA2N,6/30/18 8:31,65.93416667,1,44.56466667,NA,1928.717,1929.184,6/1/18,3.45875,NA,-24.82825
v2,EFF-XA2N,7/16/18 8:10,71.2,1,44.56466667,NA,1928.717,1929.184,7/15/18,4.595,0.211448638,-31.23033333
v2,EFF-XA2N,7/25/18 7:36,71.46666667,1,44.56466667,NA,1928.717,1929.184,7/15/18,4.595,0.211448638,-31.497
v3,EFF-XA2N,8/10/18 6:45,77.33333333,1,44.56466667,NA,1928.717,1929.184,8/24/18,3.6,0.322748612,-36.36866667
v3,EFF-XA2N,8/24/18 8:13,73.63333333,1,44.56466667,NA,1928.717,1929.184,8/24/18,3.6,0.322748612,-32.66866667
v3,EFF-XA2N,9/16/18 7:39,71.56666667,1,44.56466667,NA,1928.717,1929.184,8/24/18,3.6,0.322748612,-30.602
v3,EFF-XA2N,9/29/18 9:00,64.06666667,1,44.56466667,NA,1928.717,1929.184,8/24/18,3.6,0.322748612,-23.102
v3,EFF-XA2N,11/18/18 14:14,49,1,44.56466667,NA,1928.717,1929.184,8/24/18,3.6,0.322748612,-8.035333333
v4,EFF-XA2N,6/18/19 7:52,46.33333333,1,44.56466667,NA,1928.717,1929.184,6/18/19,3.45875,NA,-5.227416667
v5,EFF-XA2N,7/6/19 8:29,58.66666667,1,44.56466667,NA,1928.717,1929.184,7/6/19,3.45875,NA,-17.56075
v.070919,EFF-XA2N,7/26/19 7:30,67.2,1,44.56466667,NA,1928.717,1929.184,10/17/20,3.04,0.466535285,-25.67533333
bamboo speaker wire,EFF-XA2N,8/5/19 6:52,70.5,1,44.56466667,NA,1928.717,1929.184,9/2/19,2.65,0.744983221,-28.58533333
v6,EFF-XA2N,8/20/19 8:58,70.53333333,1,44.56466667,NA,1928.717,1929.184,9/2/19,2.99,0.555443284,-28.95866667
v6,EFF-XA2N,9/3/19 8:59,70.56666667,1,44.56466667,NA,1928.717,1929.184,9/2/19,2.99,0.555443284,-28.992
v6,EFF-XA2N,9/21/19 10:41,56.03333333,1,44.56466667,NA,1928.717,1929.184,9/2/19,2.99,0.555443284,-14.45866667
v6,EFF-XA2N,10/5/19 7:34,124.5333333,1,44.56466667,NA,1928.717,1929.184,9/2/19,2.99,0.555443284,-82.95866667
v6,EFF-XA2N,10/20/19 14:23,49.7,1,44.56466667,NA,1928.717,1929.184,9/2/19,2.99,0.555443284,-8.125333333
v5,EFF-XB7S,7/6/19 9:20,52.16666667,1,50.65,153.1333333,NA,NA,7/6/19,3.45875,NA,-4.975416667
v.070919,EFF-XB7S,7/26/19 7:56,51.2,1,50.65,153.1333333,NA,NA,10/17/20,3.04,0.466535285,-3.59
bamboo speaker wire,EFF-XB7S,8/5/19 7:12,53.5,1,50.65,153.1333333,NA,NA,9/2/19,2.65,0.744983221,-5.5
v6,EFF-XB7S,8/20/19 9:11,53.26666667,1,50.65,153.1333333,NA,NA,9/2/19,2.99,0.555443284,-5.606666667
v6,EFF-XB7S,9/3/19 8:56,52.76666667,1,50.65,153.1333333,NA,NA,9/2/19,2.99,0.555443284,-5.106666667
v6,EFF-XB7S,9/21/19 9:42,50.93333333,1,50.65,153.1333333,NA,NA,9/2/19,2.99,0.555443284,-3.273333333
v6,EFF-XB7S,10/5/19 7:15,51.1,1,50.65,153.1333333,NA,NA,9/2/19,2.99,0.555443284,-3.44
v6,EFF-XB7S,10/20/19 14:45,51.1,1,50.65,153.1333333,NA,NA,9/2/19,2.99,0.555443284,-3.44
v1,EFR-XB1S,6/1/18 7:40,122.3433333,1,90.896,153.1,1931.7671,NA,6/1/18,3.45875,NA,-34.90608333
v1,EFR-XB1S,6/18/18 7:56,128.0583333,1,90.896,153.1,1931.7671,NA,6/1/18,3.45875,NA,-40.62108333
v1,EFR-XB1S,6/30/18 9:10,131.3391667,1,90.896,153.1,1931.7671,NA,6/1/18,3.45875,NA,-43.90191667
v2,EFR-XB1S,7/16/18 8:54,133.4333333,1,90.896,153.1,1931.7671,NA,7/15/18,4.595,0.211448638,-47.13233333
v2,EFR-XB1S,7/25/18 8:41,131.9333333,1,90.896,153.1,1931.7671,NA,7/15/18,4.595,0.211448638,-45.63233333
v3,EFR-XB1S,8/10/18 7:31,133.5333333,1,90.896,153.1,1931.7671,NA,8/24/18,3.6,0.322748612,-46.23733333
v3,EFR-XB1S,8/24/18 8:51,133.4,1,90.896,153.1,1931.7671,NA,8/24/18,3.6,0.322748612,-46.104
v3,EFR-XB1S,9/16/18 8:07,134.5333333,1,90.896,153.1,1931.7671,NA,8/24/18,3.6,0.322748612,-47.23733333
v3,EFR-XB1S,9/29/18 8:19,134.3,1,90.896,153.1,1931.7671,NA,8/24/18,3.6,0.322748612,-47.004
v3,EFR-XB1S,11/18/18 13:50,132.8333333,1,90.896,153.1,1931.7671,NA,8/24/18,3.6,0.322748612,-45.53733333
v5,EFR-XB1S,7/6/19 9:22,123.1666667,1,90.896,153.1,1931.7671,NA,7/6/19,3.45875,NA,-35.72941667
v.070919,EFR-XB1S,7/26/19 8:05,128.9,1,90.896,153.1,1931.7671,NA,10/17/20,3.04,0.466535285,-41.044
v6,EFR-XB1S,10/20/19 15:09,133.5,1,90.896,153.1,1931.7671,NA,9/2/19,2.99,0.555443284,-45.594
v2,EFR-XB2N,7/16/18 9:19,57,1,34.25,156.1666667,1932.4431,NA,7/15/18,4.595,0.211448638,-27.345
v2,EFR-XB2N,7/25/18 8:50,56.4,1,34.25,156.1666667,1932.4431,NA,7/15/18,4.595,0.211448638,-26.745
v5,EFR-XB2N,7/6/19 9:26,48.2,1,34.25,156.1666667,1932.4431,NA,7/6/19,3.45875,NA,-17.40875
v.070919,EFR-XB2N,7/26/19 13:05,55.86666667,1,34.25,156.1666667,1932.4431,NA,10/17/20,3.04,0.466535285,-24.65666667
v6,EFR-XB2N,10/20/19 14:11,47.2,1,34.25,156.1666667,1932.4431,NA,9/2/19,2.99,0.555443284,-15.94
nw,EFR-XB2S,7/16/18 7:57,NA,0,97.1,116.49,NA,NA,10/13/20,0,NA,-19.39
nw,EFR-XB2S,7/6/19 9:19,NA,0,97.1,116.49,NA,NA,10/13/20,0,NA,-19.39
nw,EFR-XB2S,7/26/19 8:05,NA,0,97.1,116.49,NA,NA,10/13/20,0,NA,-19.39
nw,EFR-XB2S,8/20/19 9:22,NA,0,97.1,116.49,NA,NA,10/13/20,0,NA,-19.39
nw,EFR-XB2S,10/20/19 15:07,NA,0,97.1,116.49,NA,NA,10/13/20,0,NA,-19.39
v2,EFR-XB3N,7/16/18 9:21,84.7,1,49.9,154.9,1932.6121,NA,7/15/18,4.595,0.211448638,-39.395
v2,EFR-XB3N,7/25/18 8:52,83.56666667,1,49.9,154.9,1932.6121,NA,7/15/18,4.595,0.211448638,-38.26166667
v5,EFR-XB3N,7/6/19 9:27,75.2,1,49.9,154.9,1932.6121,NA,7/6/19,3.45875,NA,-28.75875
v.070919,EFR-XB3N,7/26/19 13:07,80.03333333,1,49.9,154.9,1932.6121,NA,10/17/20,3.04,0.466535285,-33.17333333
v6,EFR-XB3N,9/3/19 9:29,81.1,1,49.9,154.9,1932.6121,NA,9/2/19,2.99,0.555443284,-34.19
v6,EFR-XB3N,10/20/19 14:10,68.46666667,1,49.9,154.9,1932.6121,NA,9/2/19,2.99,0.555443284,-21.55666667
nw,EFR-XB3S,7/16/18 7:58,NA,0,86.35,151.375,NA,NA,10/13/20,0,NA,-65.025
v5,EFR-XB3S,7/6/19 9:17,134.05,1,86.35,151.375,NA,NA,7/6/19,3.45875,NA,-51.15875
v.070919,EFR-XB3S,7/26/19 8:00,138.6333333,1,86.35,151.375,NA,NA,10/17/20,3.04,0.466535285,-55.32333333
v6,EFR-XB3S,10/20/19 15:05,133.7,1,86.35,151.375,NA,NA,9/2/19,2.99,0.555443284,-50.34
v1,EHF-XA3S,6/1/18 6:40,66.04,1,65.65589744,132.8,1930.9295,1931.584,6/1/18,3.45875,NA,-3.842852563
v1,EHF-XA3S,6/18/18 8:07,67.52166667,1,65.65589744,132.8,1930.9295,1931.584,6/1/18,3.45875,NA,-5.32451923
v1,EHF-XA3S,6/30/18 8:45,83.60833333,1,65.65589744,132.8,1930.9295,1931.584,6/1/18,3.45875,NA,-21.4111859
v2,EHF-XA3S,7/16/18 8:19,114.4333333,1,65.65589744,132.8,1930.9295,1931.584,7/15/18,4.595,0.211448638,-53.3724359
v2,EHF-XA3S,7/25/18 7:45,140.2333333,1,65.65589744,132.8,1930.9295,1931.584,7/15/18,4.595,0.211448638,-79.1724359
nw,EHF-XA3S,8/10/18 6:50,NA,0,65.65589744,132.8,1930.9295,1931.584,10/13/20,0,NA,-67.14410256
nw,EHF-XA3S,8/24/18 8:19,NA,0,65.65589744,132.8,1930.9295,1931.584,10/13/20,0,NA,-67.14410256
nw,EHF-XA3S,9/16/18 7:44,NA,0,65.65589744,132.8,1930.9295,1931.584,10/13/20,0,NA,-67.14410256
nw,EHF-XA3S,9/29/18 9:03,NA,0,65.65589744,132.8,1930.9295,1931.584,10/13/20,0,NA,-67.14410256
v3,EHF-XA3S,11/18/18 14:22,78.43333333,1,65.65589744,132.8,1930.9295,1931.584,8/24/18,3.6,0.322748612,-16.3774359
nm,EHF-XA3S,6/2/19 11:55,65.56666667,1,65.65589744,132.8,1930.9295,1931.584,10/8/20,0,NA,0.08923077
v3,EHF-XA3S,6/18/19 8:07,66.8,1,65.65589744,132.8,1930.9295,1931.584,8/24/18,3.6,0.322748612,-4.744102563
v4,EHF-XA3S,6/18/19 8:07,66,1,65.65589744,132.8,1930.9295,1931.584,6/18/19,3.45875,NA,-3.802852563
v5,EHF-XA3S,7/6/19 8:41,69.1,1,65.65589744,132.8,1930.9295,1931.584,7/6/19,3.45875,NA,-6.902852563
v.070919,EHF-XA3S,7/26/19 7:38,102.7,1,65.65589744,132.8,1930.9295,1931.584,10/17/20,3.04,0.466535285,-40.08410256
bamboo speaker wire,EHF-XA3S,8/5/19 6:59,126.3666667,1,65.65589744,132.8,1930.9295,1931.584,9/2/19,2.65,0.744983221,-63.36076923
nw,EHF-XA3S,8/20/19 9:01,NA,0,65.65589744,132.8,1930.9295,1931.584,10/13/20,0,NA,-67.14410256
v6,EHF-XA3S,9/21/19 10:40,85.13333333,1,65.65589744,132.8,1930.9295,1931.584,9/2/19,2.99,0.555443284,-22.4674359
v6,EHF-XA3S,10/5/19 7:28,81.2,1,65.65589744,132.8,1930.9295,1931.584,9/2/19,2.99,0.555443284,-18.53410256
v6,EHF-XA3S,10/20/19 14:29,76.06666667,1,65.65589744,132.8,1930.9295,1931.584,9/2/19,2.99,0.555443284,-13.40076923
v1,EHR-1,5/31/18 8:30,81.28,1,54.82862637,NA,NA,NA,6/1/18,3.45875,NA,-29.91012363
v1,EHR-1,6/18/18 7:17,96.09666667,1,54.82862637,NA,NA,NA,6/1/18,3.45875,NA,-44.72679029
v1,EHR-1,6/30/18 8:15,110.9133333,1,54.82862637,NA,NA,NA,6/1/18,3.45875,NA,-59.54345696
v2,EHR-1,7/16/18 7:52,118.1333333,1,54.82862637,NA,NA,NA,7/15/18,4.595,0.211448638,-67.89970696
v2,EHR-1,7/25/18 7:21,117.8,1,54.82862637,NA,NA,NA,7/15/18,4.595,0.211448638,-67.56637363
v3,EHR-1,8/10/18 6:32,121.2333333,1,54.82862637,NA,NA,NA,8/24/18,3.6,0.322748612,-70.00470696
v3,EHR-1,8/24/18 7:53,117.8666667,1,54.82862637,NA,NA,NA,8/24/18,3.6,0.322748612,-66.63804029
v3,EHR-1,9/16/18 7:21,109.8,1,54.82862637,NA,NA,NA,8/24/18,3.6,0.322748612,-58.57137363
v3,EHR-1,9/29/18 8:16,109.2,1,54.82862637,NA,NA,NA,8/24/18,3.6,0.322748612,-57.97137363
v3,EHR-1,11/18/18 14:43,93.13333333,1,54.82862637,NA,NA,NA,8/24/18,3.6,0.322748612,-41.90470696
nm,EHR-1,6/2/19 8:01,59.16666667,1,54.82862637,NA,NA,NA,10/8/20,0,NA,-4.338040292
v4,EHR-1,6/18/19 7:30,60.53333333,1,54.82862637,NA,NA,NA,6/18/19,3.45875,NA,-9.163456959
v5,EHR-1,7/6/19 8:12,88.13333333,1,54.82862637,NA,NA,NA,7/6/19,3.45875,NA,-36.76345696
v.070919,EHR-1,7/26/19 8:18,105.8666667,1,54.82862637,NA,NA,NA,10/17/20,3.04,0.466535285,-54.07804029
bamboo speaker wire,EHR-1,8/5/19 6:39,112.8333333,1,54.82862637,NA,NA,NA,9/2/19,2.65,0.744983221,-60.65470696
v6,EHR-1,8/20/19 8:49,114.6333333,1,54.82862637,NA,NA,NA,9/2/19,2.99,0.555443284,-62.79470696
v6,EHR-1,9/3/19 8:41,114.5,1,54.82862637,NA,NA,NA,9/2/19,2.99,0.555443284,-62.66137363
v6,EHR-1,9/21/19 9:23,102.1666667,1,54.82862637,NA,NA,NA,9/2/19,2.99,0.555443284,-50.32804029
v6,EHR-1,10/5/19 7:00,93.73333333,1,54.82862637,NA,NA,NA,9/2/19,2.99,0.555443284,-41.89470696
v6,EHR-1,10/20/19 14:06,91.76666667,1,54.82862637,NA,NA,NA,9/2/19,2.99,0.555443284,-39.92804029
v2,EHR-XB1N,7/16/18 9:16,137.5,1,74.65,155.1666667,1931.9991,NA,7/15/18,4.595,0.211448638,-67.445
v2,EHR-XB1N,7/25/18 8:45,135.9333333,1,74.65,155.1666667,1931.9991,NA,7/15/18,4.595,0.211448638,-65.87833333
v5,EHR-XB1N,7/6/19 9:24,122.7,1,74.65,155.1666667,1931.9991,NA,7/6/19,3.45875,NA,-51.50875
v.070919,EHR-XB1N,7/26/19 13:04,131.1,1,74.65,155.1666667,1931.9991,NA,10/17/20,3.04,0.466535285,-59.49
v6,EHR-XB1N,10/20/19 14:12,118.5333333,1,74.65,155.1666667,1931.9991,NA,9/2/19,2.99,0.555443284,-46.87333333
v1,EHT-XA5S,6/1/18 6:43,34.18416667,1,38.33754545,146.2095238,1934.4755,NA,6/1/18,3.45875,NA,0.694628787
v1,EHT-XA5S,6/18/18 8:13,71.01416667,1,38.33754545,146.2095238,1934.4755,NA,6/1/18,3.45875,NA,-36.13537121
v1,EHT-XA5S,6/30/18 8:47,102.5525,1,38.33754545,146.2095238,1934.4755,NA,6/1/18,3.45875,NA,-67.67370455
v2,EHT-XA5S,7/16/18 8:25,140.4333333,1,38.33754545,146.2095238,1934.4755,NA,7/15/18,4.595,0.211448638,-106.6907879
nw,EHT-XA5S,7/25/18 7:51,NA,0,38.33754545,146.2095238,1934.4755,NA,10/13/20,0,NA,-107.8719783
nw,EHT-XA5S,8/10/18 6:53,NA,0,38.33754545,146.2095238,1934.4755,NA,10/13/20,0,NA,-107.8719783
nw,EHT-XA5S,8/24/18 8:25,NA,0,38.33754545,146.2095238,1934.4755,NA,10/13/20,0,NA,-107.8719783
nw,EHT-XA5S,9/16/18 7:46,NA,0,38.33754545,146.2095238,1934.4755,NA,10/13/20,0,NA,-107.8719783
nw,EHT-XA5S,9/29/18 9:04,NA,0,38.33754545,146.2095238,1934.4755,NA,10/13/20,0,NA,-107.8719783
v3,EHT-XA5S,11/18/18 14:26,57.7,1,38.33754545,146.2095238,1934.4755,NA,8/24/18,3.6,0.322748612,-22.96245455
nm,EHT-XA5S,6/2/19 10:34,33.16666667,1,38.33754545,146.2095238,1934.4755,NA,10/8/20,0,NA,5.170878787
v3,EHT-XA5S,6/18/19 8:22,35.96666667,1,38.33754545,146.2095238,1934.4755,NA,8/24/18,3.6,0.322748612,-1.229121213
v5,EHT-XA5S,7/6/19 8:46,90.3,1,38.33754545,146.2095238,1934.4755,NA,7/6/19,3.45875,NA,-55.42120455
v.070919,EHT-XA5S,7/26/19 12:12,126.7666667,1,38.33754545,146.2095238,1934.4755,NA,10/17/20,3.04,0.466535285,-91.46912121
nw,EHT-XA5S,9/3/19 9:05,NA,0,38.33754545,146.2095238,1934.4755,NA,10/13/20,0,NA,-107.8719783
nw,EHT-XA5S,9/21/19 9:48,NA,0,38.33754545,146.2095238,1934.4755,NA,10/13/20,0,NA,-107.8719783
nw,EHT-XA5S,10/5/19 0:00,NA,0,38.33754545,146.2095238,1934.4755,NA,10/13/20,0,NA,-107.8719783
v6,EHT-XA5S,10/20/19 14:32,78.2,1,38.33754545,146.2095238,1934.4755,NA,9/2/19,2.99,0.555443284,-42.85245455
v2,EHT-XB4S,7/16/18 9:11,138.5,1,102.3,146.5,NA,NA,7/15/18,4.595,0.211448638,-40.795
v5,EHT-XB4S,7/6/19 9:15,125.4333333,1,102.3,146.5,NA,NA,7/6/19,3.45875,NA,-26.59208333
nw,EHT-XB4S,7/26/19 8:05,NA,0,102.3,146.5,NA,NA,10/13/20,0,NA,-44.2
nw,EHT-XB4S,8/20/19 9:20,NA,0,102.3,146.5,NA,NA,10/13/20,0,NA,-44.2
v6,EHT-XB4S,10/20/19 13:04,124.1,1,102.3,146.5,NA,NA,9/2/19,2.99,0.555443284,-24.79
v1,EHT-XB5S,6/1/18 7:41,38.94666667,1,25.06525,153.3454545,NA,NA,6/1/18,3.45875,NA,-17.34016667
v1,EHT-XB5S,6/18/18 8:27,84.1375,1,25.06525,153.3454545,NA,NA,6/1/18,3.45875,NA,-62.531
v1,EHT-XB5S,6/30/18 9:05,109.6433333,1,25.06525,153.3454545,NA,NA,6/1/18,3.45875,NA,-88.03683333
v2,EHT-XB5S,7/16/18 8:52,129.5,1,25.06525,153.3454545,NA,NA,7/15/18,4.595,0.211448638,-109.02975
v2,EHT-XB5S,7/25/18 8:08,144.4,1,25.06525,153.3454545,NA,NA,7/15/18,4.595,0.211448638,-123.92975
nw,EHT-XB5S,8/10/18 7:18,NA,0,25.06525,153.3454545,NA,NA,10/13/20,0,NA,-128.2802045
nw,EHT-XB5S,8/24/18 8:35,NA,0,25.06525,153.3454545,NA,NA,10/13/20,0,NA,-128.2802045
nw,EHT-XB5S,9/16/18 8:04,NA,0,25.06525,153.3454545,NA,NA,10/13/20,0,NA,-128.2802045
nw,EHT-XB5S,9/29/18 8:36,NA,0,25.06525,153.3454545,NA,NA,10/13/20,0,NA,-128.2802045
v3,EHT-XB5S,11/18/18 13:43,63.56666667,1,25.06525,153.3454545,NA,NA,8/24/18,3.6,0.322748612,-42.10141667
nm,EHT-XB5S,6/2/19 19:55,NA,1,25.06525,153.3454545,NA,NA,10/8/20,0,NA,
nw,EHT-XC6S,6/1/18 8:00,NA,0,33.9725,152.0825,NA,NA,10/13/20,0,NA,-118.11
