"DateTime","(mm) Grass Reference ET (gridMET) at -120.2390E,39.4316N, 2017-10-01 to 2021-12-31"
"2018-06-23",6.2
"2018-06-24",6.5
"2018-06-25",6.5
"2018-06-26",6.5
"2018-06-27",6.6
"2018-06-28",5.9
"2018-06-29",5.4
"2018-06-30",5.9
"2018-07-01",6.2
"2018-07-02",6.4
"2018-07-03",5.7
"2018-07-04",5.8
"2018-07-05",6.3
"2018-07-06",6.1
"2018-07-07",6.3
"2018-07-08",6.8
"2018-07-09",6.6
"2018-07-10",5.8
"2018-07-11",6.1
"2018-07-12",6.2
"2018-07-13",5.8
"2018-07-14",5.9
"2018-07-15",6.1
"2018-07-16",6.3
"2018-07-17",6.2
"2018-07-18",6.6
"2018-07-19",6.5
"2018-07-20",6.2
"2018-07-21",5.8
"2018-07-22",5.2
"2018-07-23",5.4
"2018-07-24",6
"2018-07-25",6.7
"2018-07-26",6.3
"2018-07-27",6.7
"2018-07-28",6.7
"2018-07-29",6.2
"2018-07-30",6
"2018-07-31",6.3
"2018-08-01",6.6
"2018-08-02",6.7
"2018-08-03",6.6
"2018-08-04",6.1
"2018-08-05",5.4
"2018-08-06",5.6
"2018-08-07",6.3
"2018-08-08",6.2
"2018-08-09",6.8
"2018-08-10",6.8
"2018-08-11",6.1
"2018-08-12",5.6
"2018-08-13",6
"2018-08-14",5.4
"2018-08-15",5.9
"2018-08-16",5.7
"2018-08-17",5.3
"2018-08-18",5.7
"2018-08-19",6.4
"2018-08-20",6.1
"2018-08-21",5.7
"2018-08-22",5.5
"2018-08-23",5.7
"2018-08-24",5.6
"2018-08-25",5.4
"2018-08-26",5.8
"2018-08-27",4.7
"2018-08-28",4.9
"2018-08-29",4.5
"2018-08-30",4.7
"2018-08-31",4.9
"2018-09-01",4.6
"2018-09-02",5
"2018-09-03",5.1
"2018-09-04",4.7
"2018-09-05",5
"2018-09-06",5.1
"2018-09-07",5
"2018-09-08",5.2
"2018-09-09",4.6
"2018-09-10",5.1
"2018-09-11",5.1
"2018-09-12",4.5
"2018-09-13",3.9
"2018-09-14",3.8
"2018-09-15",3.6
"2018-09-16",4
"2018-09-17",3.9
"2018-09-18",4
"2018-09-19",4.4
"2018-09-20",4.3
"2018-09-21",4.5
"2018-09-22",4.7
"2018-09-23",4.2
"2018-09-24",4.1
"2018-09-25",4.6
"2018-09-26",4.1
"2018-09-27",3.8
"2018-09-28",3.9
"2018-09-29",3.9
"2018-09-30",3.2
"2018-10-01",2.9
"2018-10-02",3.1
"2018-10-03",1.8
"2018-10-04",1.2
"2018-10-05",2.2
"2018-10-06",1.7
"2018-10-07",2.3
"2018-10-08",2.5
"2018-10-09",2.8
"2018-10-10",2.1
"2018-10-11",2.4
"2018-10-12",2.8
"2018-10-13",2.8
"2018-10-14",2.8
"2018-10-15",3.3
"2018-10-16",3
"2018-10-17",2.8
"2018-10-18",2.3
"2018-10-19",3.5
"2018-10-20",3.2
"2018-10-21",2.1
"2018-10-22",2.4
"2018-10-23",2.3
"2018-10-24",2.3
"2018-10-25",2.2
"2018-10-26",2.3
"2018-10-27",2.4
"2018-10-28",2.4
"2018-10-29",1.7
"2018-10-30",1.9
"2018-10-31",1.9
"2018-11-01",1.8
"2018-11-02",3.1
"2018-11-03",2.2
"2018-11-04",3
"2018-11-05",2.6
"2018-11-06",1.7
"2018-11-07",2.5
"2018-11-08",2.2
"2018-11-09",2.5
"2018-11-10",2.1
"2018-11-11",2.3
"2018-11-12",2.4
"2018-11-13",2.2
"2018-11-14",1.8
"2018-11-15",2.3
"2018-11-16",1.3
"2018-11-17",1.6
"2018-11-18",2.3
"2018-11-19",2
"2018-11-20",2.1
"2018-11-21",1.3
"2018-11-22",0.8
"2018-11-23",0.5
"2018-11-24",0.9
"2018-11-25",1.1
"2018-11-26",1.2
"2018-11-27",1.2
"2018-11-28",0.6
"2018-11-29",0.5
"2018-11-30",0.6
"2018-12-01",0.6
"2018-12-02",0.7
"2018-12-03",0.8
"2018-12-04",0.7
"2018-12-05",0.6
"2018-12-06",0.5
"2018-12-07",0.7
"2018-12-08",1.1
"2018-12-09",1.5
"2018-12-10",0.8
"2018-12-11",1.2
"2018-12-12",1.3
"2018-12-13",1.7
"2018-12-14",2.1
"2018-12-15",1.2
"2018-12-16",1.4
"2018-12-17",0.9
"2018-12-18",1.1
"2018-12-19",1.5
"2018-12-20",1.8
"2018-12-21",0.5
"2018-12-22",1.1
"2018-12-23",1.1
"2018-12-24",0.5
"2018-12-25",0.5
"2018-12-26",1
"2018-12-27",0.8
"2018-12-28",0.8
"2018-12-29",1.1
"2018-12-30",2
"2018-12-31",1
"2019-01-01",0.9
"2019-01-02",1
"2019-01-03",1.4
"2019-01-04",1.3
"2019-01-05",1.6
"2019-01-06",0.9
"2019-01-07",1
"2019-01-08",1.1
"2019-01-09",1.1
"2019-01-10",0.9
"2019-01-11",1.5
"2019-01-12",1.2
"2019-01-13",1.3
"2019-01-14",0.9
"2019-01-15",0.7
"2019-01-16",0.9
"2019-01-17",1.1
"2019-01-18",0.8
"2019-01-19",1.2
"2019-01-20",1
"2019-01-21",0.5
"2019-01-22",1
"2019-01-23",1.5
"2019-01-24",1.5
"2019-01-25",1.3
"2019-01-26",1.9
"2019-01-27",1.7
"2019-01-28",1.6
"2019-01-29",1.2
"2019-01-30",1.8
"2019-01-31",1.7
"2019-02-01",1.4
"2019-02-02",0.8
"2019-02-03",0.9
"2019-02-04",0.7
"2019-02-05",1
"2019-02-06",0.9
"2019-02-07",1
"2019-02-08",0.7
"2019-02-09",0.7
"2019-02-10",0.7
"2019-02-11",0.9
"2019-02-12",1.4
"2019-02-13",1.1
"2019-02-14",1.2
"2019-02-15",0.8
"2019-02-16",0.9
"2019-02-17",0.9
"2019-02-18",1.1
"2019-02-19",1.2
"2019-02-20",1.2
"2019-02-21",0.8
"2019-02-22",1.1
"2019-02-23",1.3
"2019-02-24",1.7
"2019-02-25",1.8
"2019-02-26",1
"2019-02-27",1.4
"2019-02-28",1.5
"2019-03-01",1.8
"2019-03-02",1.4
"2019-03-03",1.2
"2019-03-04",1.8
"2019-03-05",1.4
"2019-03-06",1.5
"2019-03-07",1.4
"2019-03-08",1.3
"2019-03-09",1.3
"2019-03-10",1.6
"2019-03-11",1.9
"2019-03-12",1.8
"2019-03-13",1.6
"2019-03-14",2
"2019-03-15",2.5
"2019-03-16",3.2
"2019-03-17",2.9
"2019-03-18",2.7
"2019-03-19",3.1
"2019-03-20",2.1
"2019-03-21",2.1
"2019-03-22",1.6
"2019-03-23",1.1
"2019-03-24",2.2
"2019-03-25",2.6
"2019-03-26",2.3
"2019-03-27",1.5
"2019-03-28",1.7
"2019-03-29",2.3
"2019-03-30",2.6
"2019-03-31",3
"2019-04-01",2.1
"2019-04-02",1.8
"2019-04-03",2.5
"2019-04-04",2.5
"2019-04-05",2.1
"2019-04-06",2.5
"2019-04-07",3
"2019-04-08",2.7
"2019-04-09",2.4
"2019-04-10",2.9
"2019-04-11",2.2
"2019-04-12",2.7
"2019-04-13",3.4
"2019-04-14",3.1
"2019-04-15",2.7
"2019-04-16",2.5
"2019-04-17",3.4
"2019-04-18",4.3
"2019-04-19",4.1
"2019-04-20",2.8
"2019-04-21",3.2
"2019-04-22",4
"2019-04-23",4.1
"2019-04-24",4.3
"2019-04-25",4.4
"2019-04-26",4.6
"2019-04-27",4.4
"2019-04-28",4.4
"2019-04-29",4.1
"2019-04-30",2.7
"2019-05-01",3.6
"2019-05-02",3.9
"2019-05-03",4.1
"2019-05-04",4.3
"2019-05-05",4.6
"2019-05-06",4.2
"2019-05-07",4.2
"2019-05-08",4.3
"2019-05-09",4
"2019-05-10",4.6
"2019-05-11",4.6
"2019-05-12",5
"2019-05-13",4.6
"2019-05-14",3.9
"2019-05-15",2.5
"2019-05-16",1.9
"2019-05-17",2.9
"2019-05-18",2.8
"2019-05-19",2.5
"2019-05-20",3
"2019-05-21",2.1
"2019-05-22",2.8
"2019-05-23",2.4
"2019-05-24",3.7
"2019-05-25",3.1
"2019-05-26",2.7
"2019-05-27",3.1
"2019-05-28",4
"2019-05-29",4
"2019-05-30",3.2
"2019-05-31",4.1
"2019-06-01",4.4
"2019-06-02",4.3
"2019-06-03",4.8
"2019-06-04",5.3
"2019-06-05",5.5
"2019-06-06",4.7
"2019-06-07",4.2
"2019-06-08",4.7
"2019-06-09",5.8
"2019-06-10",5.6
"2019-06-11",5.8
"2019-06-12",5.3
"2019-06-13",5.4
"2019-06-14",5.5
"2019-06-15",5.7
"2019-06-16",5.5
"2019-06-17",5.9
"2019-06-18",6.1
"2019-06-19",6.3
"2019-06-20",5.6
"2019-06-21",4.9
"2019-06-22",5.2
"2019-06-23",5.5
"2019-06-24",5.4
"2019-06-25",5.1
"2019-06-26",4.8
"2019-06-27",4.8
"2019-06-28",4.5
"2019-06-29",4.8
"2019-06-30",5.4
"2019-07-01",5.5
"2019-07-02",5.5
"2019-07-03",5.2
"2019-07-04",5.3
"2019-07-05",5.6
"2019-07-06",5.7
"2019-07-07",5.1
"2019-07-08",5.4
"2019-07-09",5.5
"2019-07-10",5.8
"2019-07-11",5.8
"2019-07-12",6
"2019-07-13",6.2
"2019-07-14",6.1
"2019-07-15",5.9
"2019-07-16",5.3
"2019-07-17",5.6
"2019-07-18",5.7
"2019-07-19",5.5
"2019-07-20",5.7
"2019-07-21",5.6
"2019-07-22",5.9
"2019-07-23",6
"2019-07-24",5.6
"2019-07-25",5.2
"2019-07-26",4.5
"2019-07-27",5.2
"2019-07-28",5.9
"2019-07-29",6
"2019-07-30",5.9
"2019-07-31",6
"2019-08-01",5.7
"2019-08-02",5.7
"2019-08-03",5.9
"2019-08-04",5.9
"2019-08-05",5.5
"2019-08-06",5.8
"2019-08-07",5.6
"2019-08-08",5.1
"2019-08-09",4.6
"2019-08-10",3.9
"2019-08-11",4.4
"2019-08-12",5.2
"2019-08-13",5.3
"2019-08-14",5.8
"2019-08-15",5.9
"2019-08-16",5.6
"2019-08-17",5.2
"2019-08-18",5.5
"2019-08-19",5.1
"2019-08-20",5.5
"2019-08-21",5.7
"2019-08-22",5.1
"2019-08-23",5.4
"2019-08-24",5.3
"2019-08-25",5.3
"2019-08-26",5.6
"2019-08-27",6.3
"2019-08-28",5.8
"2019-08-29",4.8
"2019-08-30",5.2
"2019-08-31",5.2
"2019-09-01",5.5
"2019-09-02",5.3
"2019-09-03",5
"2019-09-04",4.1
"2019-09-05",4.3
"2019-09-06",4.9
"2019-09-07",4.4
"2019-09-08",4
"2019-09-09",3.5
"2019-09-10",3.1
"2019-09-11",3.5
"2019-09-12",4.6
"2019-09-13",4
"2019-09-14",4.9
"2019-09-15",5.3
"2019-09-16",2.1
"2019-09-17",3
"2019-09-18",2.1
"2019-09-19",2.3
"2019-09-20",2.7
"2019-09-21",3.3
"2019-09-22",3.5
"2019-09-23",3.3
"2019-09-24",3.8
"2019-09-25",3.9
"2019-09-26",3.9
"2019-09-27",3.5
"2019-09-28",2.1
"2019-09-29",1.6
"2019-09-30",1.6
"2019-10-01",2
"2019-10-02",3
"2019-10-03",3.1
"2019-10-04",2.7
"2019-10-05",3.3
"2019-10-06",3.8
"2019-10-07",3
"2019-10-08",3.6
"2019-10-09",2.5
"2019-10-10",3.2
"2019-10-11",3.6
"2019-10-12",2.9
"2019-10-13",2.4
"2019-10-14",2.5
"2019-10-15",2.9
"2019-10-16",3.4
"2019-10-17",2
"2019-10-18",1.9
"2019-10-19",2.1
"2019-10-20",1.9
"2019-10-21",2.1
"2019-10-22",2.5
"2019-10-23",2.9
"2019-10-24",3.5
"2019-10-25",3
"2019-10-26",3.3
"2019-10-27",1.9
"2019-10-28",2.6
"2019-10-29",2.1
"2019-10-30",2.5
"2019-10-31",2.3
"2019-11-01",2.9
"2019-11-02",2.6
"2019-11-03",1.7
"2019-11-04",2.3
"2019-11-05",2.4
"2019-11-06",2.2
"2019-11-07",2.5
"2019-11-08",2.2
"2019-11-09",1.5
"2019-11-10",2
"2019-11-11",2.1
"2019-11-12",2
"2019-11-13",1.6
"2019-11-14",1.6
"2019-11-15",1.6
"2019-11-16",2
"2019-11-17",2.2
"2019-11-18",2.1
"2019-11-19",1.6
"2019-11-20",0.8
"2019-11-21",1
"2019-11-22",1.2
"2019-11-23",1.4
"2019-11-24",1.9
"2019-11-25",1.6
"2019-11-26",0.8
"2019-11-27",0.4
"2019-11-28",0.5
"2019-11-29",0.5
"2019-11-30",0.8
"2019-12-01",0.4
"2019-12-02",0.5
"2019-12-03",0.9
"2019-12-04",0.5
"2019-12-05",0.9
"2019-12-06",1
"2019-12-07",0.9
"2019-12-08",0.7
"2019-12-09",0.8
"2019-12-10",1.1
"2019-12-11",0.9
"2019-12-12",0.9
"2019-12-13",0.6
"2019-12-14",0.6
"2019-12-15",0.5
"2019-12-16",0.9
"2019-12-17",1.2
"2019-12-18",0.7
"2019-12-19",1
"2019-12-20",1.4
"2019-12-21",2.3
"2019-12-22",1.7
"2019-12-23",0.5
"2019-12-24",0.6
"2019-12-25",0.7
"2019-12-26",0.7
"2019-12-27",0.8
"2019-12-28",0.9
"2019-12-29",0.8
"2019-12-30",0.9
"2019-12-31",0.6
"2020-01-01",1.2
"2020-01-02",1
"2020-01-03",2
"2020-01-04",1.4
"2020-01-05",1.1
"2020-01-06",1.1
"2020-01-07",1.5
"2020-01-08",1
"2020-01-09",0.7
"2020-01-10",1.5
"2020-01-11",1
"2020-01-12",1
"2020-01-13",1.2
"2020-01-14",1
"2020-01-15",1.3
"2020-01-16",1.3
"2020-01-17",0.8
"2020-01-18",1.1
"2020-01-19",1.7
"2020-01-20",1.6
"2020-01-21",1.3
"2020-01-22",1.2
"2020-01-23",1
"2020-01-24",1.3
"2020-01-25",1.5
"2020-01-26",1.1
"2020-01-27",1.2
"2020-01-28",1.4
"2020-01-29",1.2
"2020-01-30",1.4
"2020-01-31",1.6
"2020-02-01",2.2
"2020-02-02",1.9
"2020-02-03",1.1
"2020-02-04",1.1
"2020-02-05",1.3
"2020-02-06",1.8
"2020-02-07",2
"2020-02-08",2.5
"2020-02-09",1.7
"2020-02-10",1.9
"2020-02-11",1.8
"2020-02-12",1.9
"2020-02-13",2.1
"2020-02-14",1.9
"2020-02-15",2.1
"2020-02-16",1.8
"2020-02-17",1.8
"2020-02-18",1.9
"2020-02-19",2.1
"2020-02-20",2.5
"2020-02-21",2.4
"2020-02-22",2.2
"2020-02-23",2.5
"2020-02-24",2.2
"2020-02-25",2.6
"2020-02-26",2.5
"2020-02-27",2.9
"2020-02-28",2.8
"2020-02-29",2.3
"2020-03-01",0.9
"2020-03-02",1.9
"2020-03-03",2.1
"2020-03-04",2.6
"2020-03-05",3.1
"2020-03-06",3.3
"2020-03-07",1.7
"2020-03-08",1.9
"2020-03-09",1.9
"2020-03-10",2.8
"2020-03-11",2.4
"2020-03-12",2.8
"2020-03-13",2.8
"2020-03-14",1.2
"2020-03-15",0.9
"2020-03-16",1.2
"2020-03-17",1.3
"2020-03-18",1.3
"2020-03-19",1.9
"2020-03-20",1.8
"2020-03-21",2.1
"2020-03-22",2.3
"2020-03-23",2
"2020-03-24",1.7
"2020-03-25",1.4
"2020-03-26",1.6
"2020-03-27",1.9
"2020-03-28",1.6
"2020-03-29",2
"2020-03-30",2.2
"2020-03-31",2.7
"2020-04-01",2.3
"2020-04-02",2.5
"2020-04-03",2.8
"2020-04-04",1.9
"2020-04-05",1.5
"2020-04-06",1.9
"2020-04-07",2.8
"2020-04-08",3.5
"2020-04-09",3
"2020-04-10",3.2
"2020-04-11",3.8
"2020-04-12",3.2
"2020-04-13",3.4
"2020-04-14",3.4
"2020-04-15",4.1
"2020-04-16",3.6
"2020-04-17",3.4
"2020-04-18",3.4
"2020-04-19",3.2
"2020-04-20",2.9
"2020-04-21",4
"2020-04-22",4
"2020-04-23",4.2
"2020-04-24",4.1
"2020-04-25",4.1
"2020-04-26",4.5
"2020-04-27",4.4
"2020-04-28",4.9
"2020-04-29",4.8
"2020-04-30",4.1
"2020-05-01",4.1
"2020-05-02",3.7
"2020-05-03",3.3
"2020-05-04",4.2
"2020-05-05",4.8
"2020-05-06",5.1
"2020-05-07",5.3
"2020-05-08",5.3
"2020-05-09",5.8
"2020-05-10",5.1
"2020-05-11",4.4
"2020-05-12",2.6
"2020-05-13",3.2
"2020-05-14",2.6
"2020-05-15",3.9
"2020-05-16",4
"2020-05-17",2.7
"2020-05-18",1.9
"2020-05-19",3
"2020-05-20",3.7
"2020-05-21",4.3
"2020-05-22",4
"2020-05-23",4.6
"2020-05-24",4.8
"2020-05-25",5.4
"2020-05-26",5.6
"2020-05-27",5.7
"2020-05-28",6.3
"2020-05-29",5.8
"2020-05-30",3.8
"2020-05-31",4.4
"2020-06-01",4
"2020-06-02",5.3
"2020-06-03",6.1
"2020-06-04",6
"2020-06-05",6.3
"2020-06-06",3.8
"2020-06-07",3
"2020-06-08",4.1
"2020-06-09",4.5
"2020-06-10",5.3
"2020-06-11",5.9
"2020-06-12",4.6
"2020-06-13",3.2
"2020-06-14",4.5
"2020-06-15",4.5
"2020-06-16",4.7
"2020-06-17",4.8
"2020-06-18",5.7
"2020-06-19",5.8
"2020-06-20",5.9
"2020-06-21",5.6
"2020-06-22",6.6
"2020-06-23",6.7
"2020-06-24",6.4
"2020-06-25",6.1
"2020-06-26",6.7
"2020-06-27",7.2
"2020-06-28",5
"2020-06-29",4.5
"2020-06-30",5.1
"2020-07-01",5.5
"2020-07-02",5.4
"2020-07-03",5.8
"2020-07-04",6.1
"2020-07-05",6.1
"2020-07-06",6.3
"2020-07-07",5.7
"2020-07-08",5.8
"2020-07-09",5.9
"2020-07-10",6.1
"2020-07-11",6.6
"2020-07-12",6.5
"2020-07-13",6.4
"2020-07-14",5.9
"2020-07-15",6.8
"2020-07-16",6.7
"2020-07-17",6.6
"2020-07-18",6
"2020-07-19",6.3
"2020-07-20",6.4
"2020-07-21",6.1
"2020-07-22",5.3
"2020-07-23",5.9
"2020-07-24",5.6
"2020-07-25",5.6
"2020-07-26",6.2
"2020-07-27",5.7
"2020-07-28",5.5
"2020-07-29",6.2
"2020-07-30",6.4
"2020-07-31",6.2
"2020-08-01",6.8
"2020-08-02",6.6
"2020-08-03",6
"2020-08-04",5.8
"2020-08-05",6.3
"2020-08-06",5.4
"2020-08-07",5.4
"2020-08-08",5.8
"2020-08-09",6
"2020-08-10",5.9
"2020-08-11",5.5
"2020-08-12",5.9
"2020-08-13",5.9
"2020-08-14",5.1
"2020-08-15",6.3
"2020-08-16",5.4
"2020-08-17",5.9
"2020-08-18",6.6
"2020-08-19",5.7
"2020-08-20",5.7
"2020-08-21",6.1
"2020-08-22",5.5
"2020-08-23",5.6
"2020-08-24",5.2
"2020-08-25",4.7
"2020-08-26",4.8
"2020-08-27",4.9
"2020-08-28",5.3
"2020-08-29",5.4
"2020-08-30",5.6
"2020-08-31",5.3
"2020-09-01",5.7
"2020-09-02",5.4
"2020-09-03",5.6
"2020-09-04",6.2
"2020-09-05",5.4
"2020-09-06",5.2
"2020-09-07",6.6
"2020-09-08",5.1
"2020-09-09",5.8
"2020-09-10",4.5
"2020-09-11",3.8
"2020-09-12",4.3
"2020-09-13",4.9
"2020-09-14",5.3
"2020-09-15",4.6
"2020-09-16",4.4
"2020-09-17",5.1
"2020-09-18",3.4
"2020-09-19",3.4
"2020-09-20",4.2
"2020-09-21",4.6
"2020-09-22",4.3
"2020-09-23",4.4
"2020-09-24",3.9
"2020-09-25",4.3
"2020-09-26",3.7
"2020-09-27",3.9
"2020-09-28",4.5
"2020-09-29",3.7
"2020-09-30",3.5
"2020-10-01",4.8
"2020-10-02",4.1
"2020-10-03",4.4
"2020-10-04",4.3
"2020-10-05",2.9
"2020-10-06",3.3
"2020-10-07",3
"2020-10-08",3.4
"2020-10-09",3.3
"2020-10-10",2.7
"2020-10-11",2.5
"2020-10-12",2.8
"2020-10-13",3.5
"2020-10-14",3.6
"2020-10-15",3.7
"2020-10-16",3.7
"2020-10-17",3.2
"2020-10-18",3.5
"2020-10-19",2.7
"2020-10-20",2.8
"2020-10-21",2.9
"2020-10-22",2.5
"2020-10-23",2.4
"2020-10-24",2.8
"2020-10-25",1.9
"2020-10-26",2.3
"2020-10-27",2.2
"2020-10-28",2.9
"2020-10-29",3.3
"2020-10-30",2.6
"2020-10-31",2.9
"2020-11-01",3.2
"2020-11-02",2.4
"2020-11-03",2.5
"2020-11-04",2.2
"2020-11-05",2.8
"2020-11-06",1.6
"2020-11-07",0.8
"2020-11-08",0.5
"2020-11-09",0.8
"2020-11-10",1.4
"2020-11-11",1.4
"2020-11-12",1.7
"2020-11-13",1.3
"2020-11-14",1.3
"2020-11-15",1.8
"2020-11-16",2.5
"2020-11-17",2.2
"2020-11-18",0.5
"2020-11-19",1
"2020-11-20",1.3
"2020-11-21",1.5
"2020-11-22",1.5
"2020-11-23",1
"2020-11-24",1.2
"2020-11-25",1
"2020-11-26",0.9
"2020-11-27",1.6
"2020-11-28",1.3
"2020-11-29",1.7
"2020-11-30",1.9
"2020-12-01",1.7
"2020-12-02",1.9
"2020-12-03",1.6
"2020-12-04",1.4
"2020-12-05",1.6
"2020-12-06",1.2
"2020-12-07",1.5
"2020-12-08",2.3
"2020-12-09",1.7
"2020-12-10",1.3
"2020-12-11",1.4
"2020-12-12",0.8
"2020-12-13",0.7
"2020-12-14",0.6
"2020-12-15",0.8
"2020-12-16",0.9
"2020-12-17",0.5
"2020-12-18",0.9
"2020-12-19",1.6
"2020-12-20",1.7
