,"(mm) Grass Reference ET (URMA) at -120.2609E,39.4333N, 1985-10-01 to 2025-11-01"
"1986-03-11",0.9077
"1986-03-12",0.9424
"1986-03-13",1.0954
"1986-03-14",1.5781
"1986-03-15",0.763
"1986-03-16",1.0937
"1986-03-17",1.4014
"1986-03-18",1.8622
"1986-03-19",2.3811
"1986-03-20",2.4004
"1986-03-21",2.7695
"1986-03-22",2.7974
"1986-03-23",2.4728
"1986-03-24",1.695
"1986-03-25",2.8333
"1986-03-26",3.1421
"1986-03-27",3.5011
"1986-03-28",3.3155
"1986-03-29",3.681
"1986-03-30",3.3298
"1986-03-31",3.1472
"1986-04-01",1.7229
"1986-04-02",1.945
"1986-04-03",2.7505
"1986-04-04",2.4425
"1986-04-05",1.5584
"1986-04-06",2.1881
"1986-04-07",1.2851
"1986-04-08",1.5155
"1986-04-09",2.5824
"1986-04-10",2.9135
"1986-04-11",3.1712
"1986-04-12",1.5165
"1986-04-13",2.5824
"1986-04-14",2.7232
"1986-04-15",2.1937
"1986-04-16",1.3379
"1986-04-17",1.9224
"1986-04-18",2.8925
"1986-04-19",3.6251
"1986-04-20",4.0346
"1986-04-21",4.0243
"1986-04-22",3.8837
"1986-04-23",2.5771
"1986-04-24",2.2641
"1986-04-25",1.7099
"1986-04-26",3.0695
"1986-04-27",3.5822
"1986-04-28",2.9847
"1986-04-29",3.6493
"1986-04-30",4.1148
"1986-05-01",2.9864
"1986-05-02",1.8932
"1986-05-03",1.3074
"1986-05-04",2.4154
"1986-05-05",1.262
"1986-05-06",1.3927
"1986-05-07",3.197
"1986-05-08",3.5631
"1986-05-09",3.9775
"1986-05-10",3.4805
"1986-05-11",3.8644
"1986-05-12",4.1765
"1986-05-13",4.1211
"1986-05-14",3.4272
"1986-05-15",4.2911
"1986-05-16",4.4721
"1986-05-17",4.7938
"1986-05-18",5.2591
"1986-05-19",4.8648
"1986-05-20",3.6592
"1986-05-21",2.9296
"1986-05-22",3.9252
"1986-05-23",3.3128
"1986-05-24",5.1356
"1986-05-25",5.5751
"1986-05-26",5.97
"1986-05-27",5.4455
"1986-05-28",5.4327
"1986-05-29",5.7892
"1986-05-30",5.853
"1986-05-31",5.4852
"1986-06-01",5.6306
"1986-06-02",5.4927
"1986-06-03",5.2521
"1986-06-04",3.2969
"1986-06-05",4.8602
"1986-06-06",4.8263
"1986-06-07",4.4405
"1986-06-08",5.0994
"1986-06-09",5.6941
"1986-06-10",5.5283
"1986-06-11",4.8612
"1986-06-12",6.0966
"1986-06-13",5.5671
"1986-06-14",5.4245
"1986-06-15",5.5623
"1986-06-16",5.4591
"1986-06-17",5.4241
"1986-06-18",4.6452
"1986-06-19",5.0272
"1986-06-20",5.2476
"1986-06-21",5.5193
"1986-06-22",5.67
"1986-06-23",5.7306
"1986-06-24",4.6379
"1986-06-25",5.8197
"1986-06-26",5.8867
"1986-06-27",5.5475
"1986-06-28",5.2623
"1986-06-29",5.1229
"1986-06-30",5.4561
"1986-07-01",6.2059
"1986-07-02",6.4428
"1986-07-03",6.9537
"1986-07-04",6.6593
"1986-07-05",5.3732
"1986-07-06",5.259
"1986-07-07",4.6355
"1986-07-08",5.4642
"1986-07-09",5.2575
"1986-07-10",4.9908
"1986-07-11",5.7482
"1986-07-12",5.9522
"1986-07-13",6.043
"1986-07-14",6.3199
"1986-07-15",6.2901
"1986-07-16",5.5447
"1986-07-17",5.1313
"1986-07-18",5.181
"1986-07-19",5.2582
"1986-07-20",6.0998
"1986-07-21",5.1685
"1986-07-22",5.3551
"1986-07-23",3.8177
"1986-07-24",4.7667
"1986-07-25",4.523
"1986-07-26",4.86
"1986-07-27",5.0211
"1986-07-28",5.1709
"1986-07-29",5.0819
"1986-07-30",4.8496
"1986-07-31",5.5033
"1986-08-01",5.4243
"1986-08-02",6.1336
"1986-08-03",5.9034
"1986-08-04",5.8399
"1986-08-05",5.7952
"1986-08-06",5.8825
"1986-08-07",5.8073
"1986-08-08",5.4243
"1986-08-09",5.3228
"1986-08-10",5.9277
"1986-08-11",5.9597
"1986-08-12",5.4779
"1986-08-13",5.2374
"1986-08-14",5.6705
"1986-08-15",5.3828
"1986-08-16",4.9102
"1986-08-17",4.8798
"1986-08-18",5.781
"1986-08-19",3.475
"1986-08-20",3.1552
"1986-08-21",5.2557
"1986-08-22",5.0787
"1986-08-23",4.9878
"1986-08-24",4.9486
"1986-08-25",3.5796
"1986-08-26",4.7201
"1986-08-27",4.5703
"1986-08-28",4.847
"1986-08-29",4.9427
"1986-08-30",4.5637
"1986-08-31",4.6794
"1986-09-01",4.4269
"1986-09-02",4.8553
"1986-09-03",4.8761
"1986-09-04",4.9303
"1986-09-05",5.0247
"1986-09-06",5.0333
"1986-09-07",5.1395
"1986-09-08",5.1413
"1986-09-09",3.893
"1986-09-10",3.6688
"1986-09-11",3.4894
"1986-09-12",3.3788
"1986-09-13",3.8189
"1986-09-14",3.0387
"1986-09-15",2.701
"1986-09-16",1.2467
"1986-09-17",1.9471
"1986-09-18",2.6054
"1986-09-19",1.4226
"1986-09-20",2.6186
"1986-09-21",2.4448
"1986-09-22",3.1324
"1986-09-23",3.2458
"1986-09-24",1.209
"1986-09-25",0.8165
"1986-09-26",1.1232
"1986-09-27",1.7517
"1986-09-28",2.4214
"1986-09-29",2.8585
"1986-09-30",2.8491
"1986-10-01",2.2685
"1986-10-02",2.3043
"1986-10-03",2.5454
"1986-10-04",3.0518
"1986-10-05",3.2116
"1986-10-06",2.9829
"1986-10-07",2.8031
"1986-10-08",3.0021
"1986-10-09",2.9925
"1986-10-10",3.2527
"1986-10-11",2.904
"1986-10-12",2.8369
"1986-10-13",2.6999
"1986-10-14",2.6469
"1986-10-15",2.7838
"1986-10-16",2.5254
"1986-10-17",1.2573
"1986-10-18",1.9091
"1986-10-19",2.1562
"1986-10-20",2.1563
"1986-10-21",2.2806
"1986-10-22",2.3574
"1986-10-23",2.1193
"1986-10-24",1.7542
"1986-10-25",1.8619
"1986-10-26",1.9588
"1986-10-27",1.8104
"1986-10-28",1.4464
"1986-10-29",1.1597
"1986-10-30",1.2297
"1986-10-31",1.7928
"1986-11-01",2.0632
"1986-11-02",2.4923
"1986-11-03",2.6539
"1986-11-04",2.4896
"1986-11-05",2.505
"1986-11-06",1.7461
"1986-11-07",1.0413
"1986-11-08",1.3997
"1986-11-09",1.5309
"1986-11-10",1.7064
"1986-11-11",2.1136
"1986-11-12",2.0933
"1986-11-13",2.4881
"1986-11-14",1.8576
"1986-11-15",1.4508
"1986-11-16",1.411
"1986-11-17",1.5082
"1986-11-18",1.0157
"1986-11-19",1.1006
"1986-11-20",1.5486
"1986-11-21",1.1421
"1986-11-22",1.042
"1986-11-23",1.1794
"1986-11-24",1.9763
"1986-11-25",1.5009
"1986-11-26",1.6358
"1986-11-27",2.3776
"1986-11-28",1.3387
"1986-11-29",0.7927
"1986-11-30",1.7187
"1986-12-01",1.6286
"1986-12-02",1.5059
"1986-12-03",1.1092
"1986-12-04",1.409
"1986-12-05",0.5354
"1986-12-06",0.8229
"1986-12-07",0.9424
"1986-12-08",1.2039
"1986-12-09",1.3721
"1986-12-10",1.4076
"1986-12-11",0.7509
"1986-12-12",0.9871
"1986-12-13",0.7276
"1986-12-14",1.0009
"1986-12-15",1.2209
"1986-12-16",1.108
"1986-12-17",1.3361
"1986-12-18",0.376
"1986-12-19",0.2813
"1986-12-20",0.7601
"1986-12-21",1.2238
"1986-12-22",0.4656
"1986-12-23",0.726
"1986-12-24",0.7743
"1986-12-25",0.942
"1986-12-26",0.5475
"1986-12-27",1.0767
"1986-12-28",1.4157
"1986-12-29",0.9814
"1986-12-30",1.4967
"1986-12-31",0.614
"1987-01-01",0.3785
"1987-01-02",0.7727
"1987-01-03",0.3847
"1987-01-04",0.3071
"1987-01-05",0.5561
"1987-01-06",0.3282
"1987-01-07",0.6989
"1987-01-08",0.8556
"1987-01-09",1.2176
"1987-01-10",1.5195
"1987-01-11",1.6082
"1987-01-12",1.0497
"1987-01-13",0.65
"1987-01-14",1.0011
"1987-01-15",0.5225
"1987-01-16",0.8021
"1987-01-17",1.058
"1987-01-18",0.8221
"1987-01-19",0.8927
"1987-01-20",1.3637
"1987-01-21",1.4381
"1987-01-22",0.8124
"1987-01-23",0.7224
"1987-01-24",0.584
"1987-01-25",0.93
"1987-01-26",1.7494
"1987-01-27",1.1752
"1987-01-28",0.7127
"1987-01-29",0.8867
"1987-01-30",0.7297
"1987-01-31",0.9651
"1987-02-01",0.9499
"1987-02-02",0.7552
"1987-02-03",1.1513
"1987-02-04",1.6891
"1987-02-05",2.1055
"1987-02-06",2.4723
"1987-02-07",2.0567
"1987-02-08",1.4251
"1987-02-09",1.2753
"1987-02-10",1.2404
"1987-02-11",0.9905
"1987-02-12",0.8318
"1987-02-13",0.6876
"1987-02-14",1.4649
"1987-02-15",0.6462
"1987-02-16",1.0021
"1987-02-17",1.1509
"1987-02-18",1.2843
"1987-02-19",1.5328
"1987-02-20",1.6499
"1987-02-21",1.807
"1987-02-22",1.8752
"1987-02-23",0.6238
"1987-02-24",0.5986
"1987-02-25",1.0777
"1987-02-26",1.438
"1987-02-27",1.7968
"1987-02-28",1.9795
"1987-03-01",2.2415
"1987-03-02",1.952
"1987-03-03",2.293
"1987-03-04",2.876
"1987-03-05",1.2737
"1987-03-06",1.7796
"1987-03-07",1.7829
"1987-03-08",1.1563
"1987-03-09",1.9352
"1987-03-10",1.8503
"1987-03-11",1.1658
"1987-03-12",1.3795
"1987-03-13",0.8867
"1987-03-14",0.8435
"1987-03-15",1.4914
"1987-03-16",1.9621
"1987-03-17",1.7847
"1987-03-18",0.8031
"1987-03-19",0.9987
"1987-03-20",1.7422
"1987-03-21",1.0793
"1987-03-22",2.1361
"1987-03-23",1.0021
"1987-03-24",1.9434
"1987-03-25",2.4389
"1987-03-26",2.8056
"1987-03-27",2.7378
"1987-03-28",2.7932
"1987-03-29",3.1118
"1987-03-30",2.9382
"1987-03-31",2.8579
"1987-04-01",3.4201
"1987-04-02",1.9403
"1987-04-03",1.1691
"1987-04-04",2.9001
"1987-04-05",2.233
"1987-04-06",3.3052
"1987-04-07",3.5464
"1987-04-08",2.7986
"1987-04-09",3.6257
"1987-04-10",2.719
"1987-04-11",2.8965
"1987-04-12",3.2637
"1987-04-13",4.0032
"1987-04-14",3.2012
"1987-04-15",3.7162
"1987-04-16",4.818
"1987-04-17",4.2798
"1987-04-18",1.7041
"1987-04-19",3.0711
"1987-04-20",4.2403
"1987-04-21",4.6627
"1987-04-22",4.1567
"1987-04-23",2.8901
"1987-04-24",4.6072
"1987-04-25",4.7005
"1987-04-26",3.5001
"1987-04-27",5.097
"1987-04-28",4.0344
"1987-04-29",3.6288
"1987-04-30",2.1897
"1987-05-01",2.4514
"1987-05-02",3.3162
"1987-05-03",4.363
"1987-05-04",5.0628
"1987-05-05",5.7832
"1987-05-06",5.6345
"1987-05-07",5.2213
"1987-05-08",4.402
"1987-05-09",4.5097
"1987-05-10",4.8024
"1987-05-11",4.2041
"1987-05-12",4.5449
"1987-05-13",4.7674
"1987-05-14",4.9754
"1987-05-15",4.9628
"1987-05-16",3.6074
"1987-05-17",4.3701
"1987-05-18",4.0089
"1987-05-19",3.0815
"1987-05-20",1.7367
"1987-05-21",3.7716
"1987-05-22",4.2919
"1987-05-23",4.2857
"1987-05-24",4.0351
"1987-05-25",2.6788
"1987-05-26",2.1416
"1987-05-27",3.9475
"1987-05-28",4.173
"1987-05-29",4.3313
"1987-05-30",4.0449
"1987-05-31",4.4793
"1987-06-01",5.6575
"1987-06-02",6.2491
"1987-06-03",4.759
"1987-06-04",4.6179
"1987-06-05",4.3236
"1987-06-06",4.3642
"1987-06-07",4.5798
"1987-06-08",4.9647
"1987-06-09",5.3404
"1987-06-10",4.5759
"1987-06-11",5.7697
"1987-06-12",5.6406
"1987-06-13",5.9722
"1987-06-14",4.9082
"1987-06-15",3.5622
"1987-06-16",4.7612
"1987-06-17",5.0048
"1987-06-18",4.8324
"1987-06-19",5.4361
"1987-06-20",5.1366
"1987-06-21",4.9743
"1987-06-22",4.8944
"1987-06-23",5.7175
"1987-06-24",6.0188
"1987-06-25",5.9661
"1987-06-26",6.2198
"1987-06-27",5.5625
"1987-06-28",6.0379
"1987-06-29",5.514
"1987-06-30",5.6183
"1987-07-01",5.8376
"1987-07-02",5.7501
"1987-07-03",5.6305
"1987-07-04",5.714
"1987-07-05",5.658
"1987-07-06",5.4608
"1987-07-07",5.3607
"1987-07-08",5.2586
"1987-07-09",5.3342
"1987-07-10",5.2152
"1987-07-11",5.5356
"1987-07-12",6.0984
"1987-07-13",6.5996
"1987-07-14",6.9593
"1987-07-15",6.9402
"1987-07-16",7.1479
"1987-07-17",3.1793
"1987-07-18",2.8368
"1987-07-19",4.6828
"1987-07-20",3.0698
"1987-07-21",3.5432
"1987-07-22",4.4891
"1987-07-23",5.0879
"1987-07-24",5.429
"1987-07-25",5.5693
"1987-07-26",6.3063
"1987-07-27",6.7415
"1987-07-28",6.3986
"1987-07-29",6.2344
"1987-07-30",6.3964
"1987-07-31",5.3138
"1987-08-01",6.1876
"1987-08-02",5.496
"1987-08-03",6.3086
"1987-08-04",6.2436
"1987-08-05",6.2744
"1987-08-06",6.3108
"1987-08-07",5.7078
"1987-08-08",6.2601
"1987-08-09",6.0764
"1987-08-10",6.3883
"1987-08-11",5.8555
"1987-08-12",5.6042
"1987-08-13",5.6139
"1987-08-14",4.6822
"1987-08-15",4.6469
"1987-08-16",5.4116
"1987-08-17",5.3816
"1987-08-18",5.6199
"1987-08-19",5.6016
"1987-08-20",3.6157
"1987-08-21",4.7275
"1987-08-22",5.161
"1987-08-23",4.1163
"1987-08-24",5.1846
"1987-08-25",4.9217
"1987-08-26",4.9385
"1987-08-27",5.0494
"1987-08-28",5.0941
"1987-08-29",4.4523
"1987-08-30",4.4253
"1987-08-31",4.1917
"1987-09-01",4.2462
"1987-09-02",5.4159
"1987-09-03",5.3147
"1987-09-04",4.6232
"1987-09-05",4.2484
"1987-09-06",4.3534
"1987-09-07",4.1917
"1987-09-08",4.4485
"1987-09-09",3.8376
"1987-09-10",4.4514
"1987-09-11",4.5733
"1987-09-12",3.4553
"1987-09-13",4.522
"1987-09-14",4.4679
"1987-09-15",3.8358
"1987-09-16",3.7838
"1987-09-17",4.0732
"1987-09-18",4.2138
"1987-09-19",4.1285
"1987-09-20",3.7982
"1987-09-21",4.8572
"1987-09-22",4.37
"1987-09-23",3.776
"1987-09-24",3.4416
"1987-09-25",4.0068
"1987-09-26",3.9753
"1987-09-27",3.9968
"1987-09-28",4.0803
"1987-09-29",4.3464
"1987-09-30",3.8513
"1987-10-01",4.181
"1987-10-02",3.5903
"1987-10-03",3.5642
"1987-10-04",3.3965
"1987-10-05",3.814
"1987-10-06",3.5153
"1987-10-07",3.925
"1987-10-08",2.8361
"1987-10-09",2.4844
"1987-10-10",2.8226
"1987-10-11",2.6059
"1987-10-12",1.504
"1987-10-13",3.2201
"1987-10-14",2.8129
"1987-10-15",2.5542
"1987-10-16",2.7384
"1987-10-17",2.1885
"1987-10-18",2.6413
"1987-10-19",3.2423
"1987-10-20",2.7632
"1987-10-21",2.0147
"1987-10-22",0.8261
"1987-10-23",1.0915
"1987-10-24",1.7186
"1987-10-25",2.2006
"1987-10-26",2.641
"1987-10-27",1.8704
"1987-10-28",0.6329
"1987-10-29",1.5077
"1987-10-30",1.3797
"1987-10-31",0.8266
"1987-11-01",1.6038
"1987-11-02",1.0278
"1987-11-03",1.5422
"1987-11-04",1.9242
"1987-11-05",1.2769
"1987-11-06",0.6308
"1987-11-07",1.4573
"1987-11-08",1.7321
"1987-11-09",1.2272
"1987-11-10",1.4661
"1987-11-11",1.8279
"1987-11-12",1.8594
"1987-11-13",0.5404
"1987-11-14",1.0787
"1987-11-15",1.2177
"1987-11-16",0.7706
"1987-11-17",0.5292
"1987-11-18",1.4789
"1987-11-19",1.4936
"1987-11-20",1.0597
"1987-11-21",1.0529
"1987-11-22",1.0927
"1987-11-23",1.1298
"1987-11-24",1.0286
"1987-11-25",0.9886
"1987-11-26",1.3942
"1987-11-27",1.0396
"1987-11-28",0.8053
"1987-11-29",0.9336
"1987-11-30",0.5416
"1987-12-01",0.5651
"1987-12-02",0.7533
"1987-12-03",1.1195
"1987-12-04",0.8622
"1987-12-05",0.4503
"1987-12-06",0.4453
"1987-12-07",0.4024
"1987-12-08",0.3285
"1987-12-09",0.4869
"1987-12-10",0.5308
"1987-12-11",0.8112
"1987-12-12",0.8031
"1987-12-13",0.7574
"1987-12-14",0.5866
"1987-12-15",0.6065
"1987-12-16",0.3942
"1987-12-17",0.5546
"1987-12-18",0.6905
"1987-12-19",0.5742
"1987-12-20",0.6289
"1987-12-21",0.3505
"1987-12-22",0.2971
"1987-12-23",0.5015
"1987-12-24",0.6178
"1987-12-25",0.8784
"1987-12-26",1.0227
"1987-12-27",0.7683
"1987-12-28",0.327
"1987-12-29",0.3501
"1987-12-30",0.5206
"1987-12-31",0.7158
"1988-01-01",0.8308
"1988-01-02",0.4902
"1988-01-03",0.3633
"1988-01-04",0.3919
"1988-01-05",0.2944
"1988-01-06",0.4251
"1988-01-07",0.3424
"1988-01-08",0.4055
"1988-01-09",0.3892
"1988-01-10",0.5676
"1988-01-11",0.6409
"1988-01-12",0.6784
"1988-01-13",0.9416
"1988-01-14",1.1004
"1988-01-15",0.4426
"1988-01-16",0.408
"1988-01-17",0.4328
"1988-01-18",0.7065
"1988-01-19",0.8985
"1988-01-20",1.0866
"1988-01-21",0.8978
"1988-01-22",1.5325
"1988-01-23",1.5085
"1988-01-24",1.9276
"1988-01-25",1.6674
"1988-01-26",1.4646
"1988-01-27",1.1872
"1988-01-28",1.6737
"1988-01-29",0.5766
"1988-01-30",0.9522
"1988-01-31",0.7608
"1988-02-01",0.9259
"1988-02-02",1.1099
"1988-02-03",1.5676
"1988-02-04",1.8824
"1988-02-05",1.2888
"1988-02-06",1.4094
"1988-02-07",1.5349
"1988-02-08",1.7034
"1988-02-09",1.6947
"1988-02-10",1.4996
"1988-02-11",1.9063
"1988-02-12",2.3784
"1988-02-13",1.6186
"1988-02-14",2.1654
"1988-02-15",2.0002
"1988-02-16",1.3687
"1988-02-17",1.7388
"1988-02-18",1.1184
"1988-02-19",2.2057
"1988-02-20",2.4853
"1988-02-21",2.0727
"1988-02-22",2.4084
"1988-02-23",2.4961
"1988-02-24",2.1305
"1988-02-25",2.2645
"1988-02-26",2.2222
"1988-02-27",1.2864
"1988-02-28",1.447
"1988-02-29",0.8753
"1988-03-01",0.9868
"1988-03-02",1.8823
"1988-03-03",1.8537
"1988-03-04",2.0164
"1988-03-05",1.7916
"1988-03-06",1.8211
"1988-03-07",2.2751
"1988-03-08",2.8425
"1988-03-09",1.6904
"1988-03-10",1.7336
"1988-03-11",1.9208
"1988-03-12",1.7327
"1988-03-13",2.2123
"1988-03-14",2.6554
"1988-03-15",2.5126
"1988-03-16",2.3545
"1988-03-17",2.8382
"1988-03-18",3.2989
"1988-03-19",3.5107
"1988-03-20",3.4224
"1988-03-21",2.4637
"1988-03-22",2.3927
"1988-03-23",2.1729
"1988-03-24",2.9743
"1988-03-25",3.1703
"1988-03-26",3.901
"1988-03-27",2.2732
"1988-03-28",2.5553
"1988-03-29",2.5278
"1988-03-30",2.516
"1988-03-31",3.023
"1988-04-01",3.5491
"1988-04-02",3.2817
"1988-04-03",2.3239
"1988-04-04",2.8377
"1988-04-05",3.4916
"1988-04-06",3.5676
"1988-04-07",3.3884
"1988-04-08",3.069
"1988-04-09",4.1455
"1988-04-10",4.145
"1988-04-11",3.52
"1988-04-12",3.5744
"1988-04-13",2.5859
"1988-04-14",1.6574
"1988-04-15",2.0934
"1988-04-16",3.3411
"1988-04-17",2.9515
"1988-04-18",2.3701
"1988-04-19",1.5911
"1988-04-20",1.7067
"1988-04-21",1.8177
"1988-04-22",1.7259
"1988-04-23",3.0444
"1988-04-24",2.6049
"1988-04-25",2.6137
"1988-04-26",3.4816
"1988-04-27",2.5143
"1988-04-28",2.5872
"1988-04-29",2.3237
"1988-04-30",1.5457
"1988-05-01",2.879
"1988-05-02",2.7209
"1988-05-03",3.4625
"1988-05-04",2.9226
"1988-05-05",1.9591
"1988-05-06",2.227
"1988-05-07",1.6003
"1988-05-08",2.7581
"1988-05-09",2.3529
"1988-05-10",4.3612
"1988-05-11",4.9239
"1988-05-12",4.965
"1988-05-13",4.2767
"1988-05-14",4.7966
"1988-05-15",5.5783
"1988-05-16",2.4298
"1988-05-17",3.0161
"1988-05-18",4.4211
"1988-05-19",5.0427
"1988-05-20",5.3221
"1988-05-21",5.3927
"1988-05-22",4.4874
"1988-05-23",5.6009
"1988-05-24",5.5748
"1988-05-25",5.4303
"1988-05-26",3.5842
"1988-05-27",4.3177
"1988-05-28",2.3602
"1988-05-29",1.6181
"1988-05-30",3.4918
"1988-05-31",3.4329
"1988-06-01",2.6818
"1988-06-02",4.8889
"1988-06-03",4.669
"1988-06-04",2.693
"1988-06-05",3.2416
"1988-06-06",1.8888
"1988-06-07",2.1093
"1988-06-08",3.5519
"1988-06-09",4.4442
"1988-06-10",3.793
"1988-06-11",4.1118
"1988-06-12",5.1779
"1988-06-13",5.4748
"1988-06-14",5.34
"1988-06-15",4.9118
"1988-06-16",5.9294
"1988-06-17",5.5286
"1988-06-18",6.1694
"1988-06-19",5.6734
"1988-06-20",5.9988
"1988-06-21",5.8838
"1988-06-22",6.4524
"1988-06-23",6.278
"1988-06-24",5.6273
"1988-06-25",5.3271
"1988-06-26",5.6065
"1988-06-27",5.7544
"1988-06-28",5.9812
"1988-06-29",5.4816
"1988-06-30",5.9044
"1988-07-01",6.07
"1988-07-02",6.0537
"1988-07-03",6.4399
"1988-07-04",5.8908
"1988-07-05",5.1994
"1988-07-06",5.2647
"1988-07-07",5.6413
"1988-07-08",5.7269
"1988-07-09",6.3818
"1988-07-10",6.5302
"1988-07-11",5.7498
"1988-07-12",5.3591
"1988-07-13",5.5515
"1988-07-14",5.8916
"1988-07-15",5.794
"1988-07-16",6.2963
"1988-07-17",6.6103
"1988-07-18",6.7497
"1988-07-19",6.938
"1988-07-20",7.0257
"1988-07-21",6.4433
"1988-07-22",5.3351
"1988-07-23",5.8479
"1988-07-24",5.2302
"1988-07-25",4.1381
"1988-07-26",6.0193
"1988-07-27",5.8779
"1988-07-28",5.8132
"1988-07-29",5.8263
"1988-07-30",5.0243
"1988-07-31",5.9269
"1988-08-01",6.0474
"1988-08-02",6.213
"1988-08-03",5.2392
"1988-08-04",5.004
"1988-08-05",5.4396
"1988-08-06",4.5321
"1988-08-07",4.5778
"1988-08-08",5.3344
"1988-08-09",5.6446
"1988-08-10",4.6062
"1988-08-11",4.2185
"1988-08-12",4.6958
"1988-08-13",4.35
"1988-08-14",4.873
"1988-08-15",4.6873
"1988-08-16",4.8315
"1988-08-17",5.2314
"1988-08-18",5.0306
"1988-08-19",5.4541
"1988-08-20",5.5263
"1988-08-21",4.928
"1988-08-22",5.0011
"1988-08-23",4.8835
"1988-08-24",5.4956
"1988-08-25",5.514
"1988-08-26",4.4737
"1988-08-27",5.0502
"1988-08-28",4.6498
"1988-08-29",5.3908
"1988-08-30",5.3444
"1988-08-31",5.1246
"1988-09-01",4.1102
"1988-09-02",5.3602
"1988-09-03",5.3917
"1988-09-04",4.9571
"1988-09-05",4.9631
"1988-09-06",5.8943
"1988-09-07",5.4702
"1988-09-08",4.7
"1988-09-09",4.2456
"1988-09-10",4.9837
"1988-09-11",4.5254
