well_id,cut_start,cut_end,temp_threshold,front_cutoff,back_cutoff
EWR-1,2018-07-27 15:00:00,2018-08-24 08:00:00,0.01,2,1
EWR-1,2018-08-26 18:00:00,2018-09-29 12:37:00,0.05,0,1
EWR-1,2018-10-01 15:00:00,2018-11-19 12:20:00,0.2,0,135
EWR-1,2025-05-26 08:00:00,2025-10-31 16:00:00,0.1,0,0
EWT-1,2018-07-27 15:00:00,2018-08-24 12:20:00,0.2,2,23
EWT-1,2019-06-02 10:39:00,2019-07-26 11:52:00,0.5,0,0
EWT-1,2021-06-05 14:00:00,2021-07-03 11:18:00,0.02,18,1
EWT-1,2021-07-20 20:00:00,2021-11-14 09:38:00,1.725,0,0
EWT-1,2024-06-02 12:28:00,2024-07-12 07:20:00,0.01,4,1
EWT-1,2024-07-14 17:00:00,2024-11-11 00:00:00,0.1,0,191
EWT-1,2025-05-26 08:00:00,2025-10-31 16:00:00,0.1,0,6
EWT-2,2025-06-24 15:40:00,2025-10-31 16:00:00,0.1,1,1
KEF-1,2018-07-15 15:33:00,2018-07-17 13:44:00,1.0,1,0
KEF-1,2018-07-25 12:30:00,2018-07-27 12:30:00,0.5,0,0
KEF-1,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,0,0
KEF-1,2018-08-26 18:00:00,2018-11-19 12:40:00,0.01,80,125
KEF-1,2019-06-03 13:02:00,2019-10-20 11:00:00,0.05,2,0
KEF-1,2021-06-05 12:00:00,2021-07-03 08:29:00,0.5,0,0
KEF-1,2021-07-05 18:00:00,2021-11-13 17:20:00,0.01,1,1
KEF-1,2024-06-02 15:16:00,2024-07-12 07:30:00,0.5,1,0
KEF-1,2024-07-14 17:00:00,2024-11-11 00:00:00,0.1,0,208
KEF-1,2025-05-26 20:00:00,2025-10-31 16:00:00,0.5,0,0
KER-1,2018-07-15 14:30:00,2018-07-17 14:06:00,0.2,0,1
KER-1,2018-07-25 13:30:00,2018-07-27 12:30:00,0.5,0,0
KER-1,2018-08-24 14:40:00,2018-08-26 14:30:00,0.02,6,0
KER-1,2025-05-26 20:00:00,2025-10-31 16:00:00,0.6,419,0
KER-2,2025-06-25 15:59:00,2025-10-31 16:00:00,0.5,0,0
KET-1,2019-09-03 12:44:00,2019-10-20 10:30:00,0.01,2,0
KET-1,2021-07-03 12:00:00,2021-07-05 12:00:00,0.5,0,0
KET-1,2024-06-02 14:20:00,2024-07-12 07:30:00,0.5,1,0
KET-1,2024-07-14 17:00:00,2024-11-09 12:50:00,0.5,0,0
KET-1,2025-05-26 20:00:00,2025-10-31 16:00:00,0.5,0,0
KFR-XE1S,2018-07-25 12:30:00,2018-07-27 12:30:00,0.5,0,0
KFR-XE1S,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,0,0
KHF-1,2018-09-29 14:00:00,2018-10-01 14:00:00,0.5,0,0
KHF-1,2019-06-02 12:00:00,2019-06-16 13:40:00,0.04,151,0
KHF-1,2019-06-18 14:30:00,2019-09-02 00:00:00,3.0,0,0
KHF-1,2021-06-05 12:00:00,2021-06-20 12:29:00,0.5,0,0
KHF-1,2021-07-05 18:00:00,2021-11-13 17:20:00,0.1,0,1
KHF-1,2024-06-02 15:22:00,2024-07-12 07:30:00,0.5,1,0
KHF-1,2024-07-14 17:00:00,2024-11-11 00:00:00,0.1,0,208
KHF-1,2025-05-26 20:00:00,2025-06-24 17:27:00,0.05,0,1
KHF-1,2025-06-24 17:30:00,2025-10-31 16:00:00,0.5,1,0
KHR-1,2021-06-20 16:00:00,2021-07-03 07:00:00,2.2,0,0
KHR-1,2021-07-03 20:00:00,2021-07-05 11:00:00,1.041,0,0
KHR-1,2024-07-14 17:00:00,2024-10-06 12:02:00,0.5,0,1
KHR-1,2025-05-26 20:00:00,2025-06-24 18:08:00,0.2,0,1
KHR-1,2025-06-24 18:10:00,2025-10-31 16:00:00,0.5,2,0
KHT-XE4S,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,0,0
KHT-XE5S,2018-07-15 14:55:00,2018-07-17 13:52:00,0.2,1,1
KHT-XE5S,2018-07-25 12:30:00,2018-07-27 12:30:00,0.5,0,0
KHT-XE5S,2019-06-03 12:00:00,2019-10-20 12:00:00,0.2,2,8
KHT-XE5S,2021-06-05 12:00:00,2021-07-03 08:50:00,0.2,0,1
KHT-XE5S,2021-07-05 18:00:00,2021-07-16 13:20:00,0.5,0,1
KHT-XE5S,2021-07-19 12:30:00,2021-11-13 07:50:00,1.92,0,0
KHT-XE5S,2024-06-02 14:09:00,2024-07-12 07:30:00,0.5,2,0
KHT-XE5S,2024-07-14 17:00:00,2024-11-11 00:00:00,0.1,0,211
KHT-XE5S,2025-05-26 20:00:00,2025-10-31 16:00:00,0.5,0,0
KWF-1,2018-07-25 12:30:00,2018-07-27 12:30:00,0.05,2,0
KWF-1,2018-08-24 14:30:00,2018-08-26 14:30:00,0.1,0,0
KWF-1,2018-09-29 14:00:00,2018-10-01 13:30:00,0.1,0,0
KWR-1,2018-07-15 15:52:00,2018-07-17 14:24:00,0.2,1,1
KWR-1,2018-07-25 12:50:00,2018-07-27 12:30:00,0.01,3,0
KWR-1,2018-08-24 14:30:00,2018-08-26 14:30:00,0.5,0,0
KWR-1,2018-08-28 06:00:00,2018-09-29 10:00:00,0.5,0,0
KWR-1,2018-10-01 15:00:00,2018-11-19 12:20:00,0.1,0,127
KWR-1,2025-05-26 20:00:00,2025-10-31 16:00:00,0.1,0,0
KWT-1,2018-07-15 15:10:00,2018-07-17 13:44:00,0.5,2,1
KWT-1,2019-06-03 12:22:00,2019-10-20 00:00:00,0.95,0,0
KWT-1,2021-06-05 12:00:00,2021-06-19 12:55:00,0.1,0,1
KWT-1,2021-06-19 16:00:00,2021-07-03 08:00:00,2.3,0,0
KWT-1,2021-07-05 18:00:00,2021-08-06 07:00:00,0.49,1,0
KWT-1,2024-06-02 14:42:00,2024-07-12 07:30:00,0.5,1,0
KWT-1,2024-07-14 17:00:00,2024-11-09 11:20:00,0.01,3853,0
KWT-1,2025-06-18 12:30:00,2025-06-24 17:30:00,2.5,0,0
KWT-1,2025-06-24 17:55:00,2025-10-31 16:00:00,1.0,1,0
KWT-2,2025-06-18 12:14:00,2025-06-24 17:30:00,1.0,1,0
KWT-2,2025-06-24 17:47:00,2025-10-31 16:00:00,0.8,1,0
LET-1,2024-06-02 17:48:00,2024-07-11 20:05:00,0.01,5,1
LET-1,2024-07-14 17:00:00,2024-11-11 00:00:00,0.1,0,198
LHT-1,2019-10-05 12:00:00,2019-10-20 09:13:00,0.1,0,2
LHT-1,2024-06-02 17:38:00,2024-07-11 20:05:00,0.05,2,1
LHT-1,2024-07-14 17:00:00,2024-11-11 00:00:00,0.1,0,198
LWT-1,2024-06-02 17:54:00,2024-07-11 20:05:00,0.5,1,1
LWT-1,2024-07-14 17:00:00,2024-11-11 00:00:00,0.1,0,198
